x,y,label,Z,emiRho (mS/m)
478701.6252117827,3617386.494827864,1 1,-2.0,2.418894010873775
478702.03787061974,3617387.936948762,1 2,-0.625,0.4605762441576282
478702.4505294567,3617389.37906966,1 3,-0.625,0.4605762441576282
478702.86318829376,3617390.821190558,1 4,-1.25,0.6811655530399787
478703.2758471308,3617392.263311456,1 5,-0.375,0.579573957631403
478703.6885059678,3617393.7054323535,1 6,-0.375,0.579573957631403
478704.10116480483,3617395.1475532516,1 7,-0.375,0.579573957631403
478704.5138236419,3617396.5896741496,1 8,-1.25,0.5764463806531511
478704.92648247886,3617398.031795047,1 9,-1.25,0.5764463806531511
478705.3391413159,3617399.4739159453,1 10,-1.375,0.6450943686058644
478705.7518001529,3617400.9160368433,1 11,-1.625,0.7540684788861672
478706.1644589899,3617402.3581577414,1 12,-1.625,1.0016683757352938
478706.57711782696,3617403.800278639,1 13,-0.625,0.535902969974058
478701.2494453567,3617380.5256572664,2 1,-0.875,0.631236784536024
478701.45385437424,3617379.0396502162,2 2,-1.0,0.5695293183486456
478701.6582633917,3617377.553643166,2 3,-1.875,1.20227311948197
478701.8626724092,3617376.0676361155,2 4,-0.75,0.6316762818132879
478702.06708142674,3617374.5816290653,2 5,-1.25,0.6717971359664637
478702.27149044425,3617373.0956220147,2 6,-2.125,2.4861413706043716
478702.4758994618,3617371.6096149646,2 7,-1.25,0.5727880276475185
478702.6803084793,3617370.1236079144,2 8,-1.25,0.5727880276475185
478702.8847174968,3617368.637600864,2 9,-1.125,0.5153611827033393
478703.08912651433,3617367.1515938137,2 10,-1.5,0.9581230985333719
478703.29353553185,3617365.6655867635,2 11,-1.5,0.9581230985333719
478703.49794454937,3617364.179579713,2 12,-0.75,0.5293433844623769
478703.7023535669,3617362.693572663,2 13,-0.75,0.5293433844623769
478701.6154869079,3617379.146737619,3 1,-1.0,0.5695293183486456
478701.8857770888,3617377.671290833,3 2,-1.875,1.20227311948197
478702.15606726974,3617376.195844047,3 3,-1.875,1.20227311948197
478702.42635745066,3617374.720397261,3 4,-1.25,0.6717971359664637
478702.6966476316,3617373.244950475,3 5,-2.125,2.4861413706043716
478702.9669378125,3617371.7695036894,3 6,-1.25,0.5727880276475185
478703.23722799344,3617370.294056903,3 7,-1.25,0.5727880276475185
478703.50751817436,3617368.8186101173,3 8,-1.125,0.5153611827033393
478703.7778083553,3617367.3431633315,3 9,-1.5,0.9581230985333719
478704.0480985362,3617365.8677165457,3 10,-1.5,0.9581230985333719
478704.31838871713,3617364.3922697594,3 11,-1.5,0.9581230985333719
478704.58867889806,3617362.9168229736,3 12,-0.75,0.5293433844623769
478704.858969079,3617361.441376188,3 13,-1.25,2.064089875486068
478701.3941111379,3617381.0581536437,4 1,-0.875,0.6405458051724191
478701.5087194913,3617382.553768877,4 2,-1.375,0.6684044938841776
478701.62332784466,3617384.04938411,4 3,-0.75,0.576442800377749
478701.7379361981,3617385.544999343,4 4,-0.75,0.510448720357449
478701.8525445515,3617387.040614576,4 5,-2.0,2.418894010873775
478701.9671529049,3617388.5362298093,4 6,-0.625,0.4605762441576282
478702.0817612583,3617390.031845042,4 7,-1.125,0.5069088358817844
478702.1963696117,3617391.527460275,4 8,-1.25,0.6811655530399787
478702.3109779651,3617393.0230755084,4 9,-0.375,0.579573957631403
478702.42558631854,3617394.518690741,4 10,-0.375,0.579573957631403
478702.54019467195,3617396.0143059744,4 11,-0.875,0.6909105335145125
478702.65480302536,3617397.5099212076,4 12,-1.25,0.5764463806531511
478702.7694113788,3617399.0055364403,4 13,-1.25,0.5764463806531511
478701.6071183758,3617379.7738808864,5 1,-1.0,0.5695293183486456
478702.01700715756,3617381.216791551,5 2,-0.875,0.6405458051724191
478702.4268959394,3617382.6597022163,5 3,-1.375,0.6684044938841776
478702.8367847212,3617384.102612881,5 4,-0.75,0.576442800377749
478703.24667350296,3617385.5455235457,5 5,-0.75,0.510448720357449
478703.6565622848,3617386.9884342104,5 6,-2.0,2.418894010873775
478704.0664510666,3617388.431344875,5 7,-0.625,0.4605762441576282
478704.47633984836,3617389.87425554,5 8,-1.125,0.5069088358817844
478704.8862286302,3617391.3171662046,5 9,-0.375,0.579573957631403
478705.296117412,3617392.7600768697,5 10,-0.375,0.579573957631403
478705.70600619377,3617394.2029875345,5 11,-0.375,0.579573957631403
478706.1158949756,3617395.645898199,5 12,-1.25,0.5764463806531511
478706.5257837574,3617397.088808864,5 13,-1.25,0.5764463806531511
478700.92837633815,3617378.700874875,6 1,-1.0,0.5695293183486456
478700.97868359176,3617380.200031031,6 2,-0.875,0.631236784536024
478701.02899084537,3617381.699187187,6 3,-0.875,0.6405458051724191
478701.079298099,3617383.198343343,6 4,-1.625,0.7673568225994035
478701.1296053526,3617384.697499499,6 5,-0.75,0.576442800377749
478701.1799126062,3617386.1966556553,6 6,-0.75,0.510448720357449
478701.2302198598,3617387.695811811,6 7,-2.0,2.418894010873775
478701.2805271134,3617389.194967967,6 8,-0.625,0.4605762441576282
478701.3308343671,3617390.694124123,6 9,-1.5,0.6789290521635446
478701.3811416207,3617392.193280279,6 10,-0.375,0.579573957631403
478701.4314488743,3617393.6924364353,6 11,-0.375,0.579573957631403
478701.4817561279,3617395.1915925913,6 12,-0.375,0.579573957631403
478701.5320633815,3617396.6907487474,6 13,-1.25,0.5764463806531511
478700.8134824765,3617377.5355370725,7 1,-1.875,1.20227311948197
478700.8708443339,3617379.034439877,7 2,-1.0,0.5695293183486456
478700.9282061912,3617380.533342682,7 3,-0.875,0.631236784536024
478700.9855680486,3617382.032245486,7 4,-0.875,0.6405458051724191
478701.042929906,3617383.5311482907,7 5,-1.625,0.7673568225994035
478701.1002917633,3617385.030051095,7 6,-0.75,0.576442800377749
478701.1576536207,3617386.5289538996,7 7,-2.0,2.418894010873775
478701.2150154781,3617388.0278567043,7 8,-0.625,0.4605762441576282
478701.2723773354,3617389.5267595085,7 9,-0.625,0.4605762441576282
478701.3297391928,3617391.025662313,7 10,-1.25,0.6811655530399787
478701.3871010501,3617392.5245651174,7 11,-0.375,0.579573957631403
478701.4444629075,3617394.023467922,7 12,-0.375,0.579573957631403
478701.5018247649,3617395.522370727,7 13,-0.875,0.6909105335145125
478701.1998007508,3617372.1786097093,8 1,-1.25,0.5727880276475185
478701.42960131395,3617370.6963169915,8 2,-1.25,0.5727880276475185
478701.6594018771,3617369.2140242737,8 3,-1.125,0.5153611827033393
478701.8892024402,3617367.731731556,8 4,-1.125,0.5153611827033393
478702.1190030033,3617366.249438838,8 5,-1.5,0.9581230985333719
478702.3488035664,3617364.7671461203,8 6,-1.5,0.9581230985333719
478702.57860412955,3617363.2848534025,8 7,-0.75,0.5293433844623769
478702.8084046927,3617361.8025606847,8 8,-1.25,2.064089875486068
478703.0382052558,3617360.320267967,8 9,-1.25,2.064089875486068
478703.2680058189,3617358.837975249,8 10,-0.875,0.5180192872092024
478703.497806382,3617357.3556825314,8 11,-1.25,0.6122437109821812
478703.72760694515,3617355.873389814,8 12,-0.625,0.5710193268515553
