Unnamed: 0,El-array,xA (m),xB (m),xM (m),xN (m),Rho (Ohm.m),Dev. Rho (%),VMN (mV),IAB (mA),Coef. k (m),Stack,Name,Date,Gapfiller,Time_fixed,x_mapped,y_mapped,Matched
,Mixed / non conventional,-3.0,-9.0,0.0,-13.5,1.08,0.0,138.886,2314.648,17.99,0,,1/28/2024 5:24:59 PM,0,1900-01-01 17:24:59,478701.1931,3617378.435,1
,Mixed / non conventional,-3.0,-9.0,-15.0,3.0,1.22,0.0,-75.032,2314.648,-37.7,0,,1/28/2024 5:24:59 PM,0,1900-01-01 17:24:59,,,0
,Mixed / non conventional,-3.0,-9.0,1.5,-15.0,1.17,0.0,90.98,2314.648,29.87,0,,1/28/2024 5:24:59 PM,0,1900-01-01 17:24:59,,,0
,Mixed / non conventional,-3.0,-9.0,-13.5,1.5,1.15,0.0,-107.494,2314.648,-24.74,0,,1/28/2024 5:24:59 PM,0,1900-01-01 17:24:59,,,0
,Mixed / non conventional,-3.0,-9.0,-12.0,0.0,1.03,0.0,-169.24,2314.648,-14.14,0,,1/28/2024 5:24:59 PM,0,1900-01-01 17:24:59,,,0
,Mixed / non conventional,-3.0,-9.0,-4.5,-10.5,0.66,0.0,236.086,2314.648,6.43,0,,1/28/2024 5:24:59 PM,0,1900-01-01 17:24:59,,,0
,Mixed / non conventional,-3.0,-9.0,-10.5,-1.5,0.76,0.0,-298.993,2314.648,-5.89,0,,1/28/2024 5:24:59 PM,0,1900-01-01 17:24:59,,,0
,Mixed / non conventional,-3.0,-9.0,-1.5,-12.0,0.83,0.0,232.076,2314.648,8.32,0,,1/28/2024 5:24:59 PM,0,1900-01-01 17:24:59,,,0
,Mixed / non conventional,-3.0,-9.0,-7.5,-4.5,0.65,0.0,-211.988,2314.648,-7.07,0,,1/28/2024 5:24:59 PM,0,1900-01-01 17:24:59,,,0
,Mixed / non conventional,-3.0,-9.0,-6.0,-7.5,0.78,0.0,127.272,2314.648,14.14,0,,1/28/2024 5:24:59 PM,0,1900-01-01 17:24:59,,,0
