,ame,Long,Lat,Ele,Time,geometry,X,Y
310,10002213,32.69426565,-117.2271858,-35.037,17:24:00,POINT (478704.33078117156 3617416.6897564703),478704.3308,3617416.69
311,10002214,32.69426059,-117.2271888,-35.079,17:24:01,POINT (478704.0483700246 3617416.129431357),478704.0484,3617416.129
312,10002215,32.69425524,-117.2271903,-35.057,17:24:02,POINT (478703.9064958703 3617415.5366574973),478703.9065,3617415.537
313,10002216,32.6942495,-117.22719,-35.047,17:24:03,POINT (478703.93325618573 3617414.900289221),478703.9333,3617414.9
314,10002217,32.69424329,-117.2271896,-35.093,17:24:04,POINT (478703.96927879646 3617414.21179901),478703.9693,3617414.212
315,10002218,32.69423724,-117.2271895,-35.068,17:24:05,POINT (478703.97721818485 3617413.541105767),478703.9772,3617413.541
316,10002219,32.69423084,-117.2271892,-35.062,17:24:06,POINT (478704.00382203667 3617412.831573146),478704.0038,3617412.832
317,10002220,32.69422452,-117.2271884,-35.061,17:24:07,POINT (478704.0773134732 3617412.130808669),478704.0773,3617412.131
318,10002221,32.69421861,-117.2271883,-35.076,17:24:08,POINT (478704.08528605994 3617411.4756351397),478704.0853,3617411.476
319,10002222,32.69421243,-117.2271886,-35.079,17:24:09,POINT (478704.05569974746 3617410.7906109462),478704.0557,3617410.791
320,10002223,32.69420625,-117.2271888,-35.077,17:24:10,POINT (478704.0354871561 3617410.105566704),478704.0355,3617410.106
321,10002224,32.69420028,-117.22719,-35.055,17:24:11,POINT (478703.9215871026 3617409.4440025473),478703.9216,3617409.444
322,10002225,32.69419449,-117.2271905,-35.04,17:24:12,POINT (478703.8733457831 3617408.8022519425),478703.8733,3617408.802
323,10002226,32.69418849,-117.2271917,-35.06,17:24:13,POINT (478703.7594385911 3617408.1373621374),478703.7594,3617408.137
324,10002227,32.69418225,-117.2271936,-35.089,17:24:14,POINT (478703.5798584013 3617407.4460074827),478703.5799,3617407.446
325,10002228,32.69417588,-117.2271959,-35.071,17:24:15,POINT (478703.36275246047 3617406.7403218853),478703.3628,3617406.74
326,10002229,32.69416931,-117.2271967,-35.06,17:24:16,POINT (478703.286204983 3617406.0121644856),478703.2862,3617406.012
327,10002230,32.69416327,-117.2271958,-35.058,17:24:17,POINT (478703.3691365339 3617405.342419378),478703.3691,3617405.342
328,10002231,32.69415737,-117.2271973,-35.097,17:24:18,POINT (478703.2271317941 3617404.6886752476),478703.2271,3617404.689
329,10002232,32.69415181,-117.2271998,-35.102,17:24:19,POINT (478702.9914703521 3617404.072822373),478702.9915,3617404.073
330,10002233,32.69414597,-117.2272004,-35.116,17:24:20,POINT (478702.9338433656 3617403.425549075),478702.9338,3617403.426
331,10002234,32.69414014,-117.2272009,-35.138,17:24:21,POINT (478702.8855924734 3617402.7793642743),478702.8856,3617402.779
332,10002235,32.69413439,-117.2272017,-35.148,17:24:22,POINT (478702.80923935253 3617402.142108041),478702.8092,3617402.142
333,10002236,32.69412802,-117.227202,-35.13,17:24:23,POINT (478702.7796078801 3617401.4360213983),478702.7796,3617401.436
334,10002237,32.69412152,-117.2272026,-35.122,17:24:24,POINT (478702.7218243875 3617400.7155837575),478702.7218,3617400.716
335,10002238,32.69411498,-117.2272027,-35.136,17:24:25,POINT (478702.7109000679 3617399.9906116473),478702.7109,3617399.991
336,10002239,32.69410777,-117.2272008,-35.096,17:24:26,POINT (478702.8872915764 3617399.190965578),478702.8873,3617399.191
337,10002240,32.6941017,-117.2272007,-35.178,17:24:27,POINT (478702.8952261742 3617398.518055247),478702.8952,3617398.518
338,10002241,32.69409652,-117.2272019,-35.101,17:24:28,POINT (478702.7815132224 3617397.9440666186),478702.7815,3617397.944
339,10002242,32.69409207,-117.2272013,-35.049,17:24:29,POINT (478702.83670057595 3617397.4506412377),478702.8367,3617397.451
340,10002243,32.69408758,-117.2272018,-35.073,17:24:30,POINT (478702.788767357 3617396.9530022377),478702.7888,3617396.953
341,10002244,32.69408328,-117.2272018,-35.065,17:24:31,POINT (478702.7877478649 3617396.476325434),478702.7877,3617396.476
342,10002245,32.69407889,-117.2272002,-35.019,17:24:32,POINT (478702.93668682437 3617395.989350828),478702.9367,3617395.989
343,10002246,32.69407393,-117.2271998,-35.042,17:24:33,POINT (478702.97300581256 3617395.43942947),478702.973,3617395.439
