Z_bin,param,elm_id,region,cellType,X,Y,Z,Resistivity(ohm.m),Resistivity(log10),Sensitivity(log10),Scaled_Sensitivity(log10),Conductivity(mS/m),eX,eY,source,eX_index,filtered_row_index,x,y
-5.1000000000000005,421.0,421.0,1.0,5.0,8.97472,0.0,-5.1047166666666675,1.22081,0.08665,-1.96237,-0.5524,819.1282836805073,7,12,0,0,0,478704.1011648048,3617395.147553252
-4.7,581.0,581.0,1.0,5.0,8.945943333333334,0.0,-4.716693333333334,1.19819,0.07853,-1.98184,-0.53944,834.5921765329372,7,12,0,0,0,478704.1011648048,3617395.147553252
-4.1000000000000005,775.0,775.0,1.0,5.0,9.19391,0.0,-4.138573333333333,1.1528,0.06175,-1.89337,-0.22081,867.4531575294934,7,12,0,0,0,478704.1011648048,3617395.147553252
-4.0,365.0,365.0,1.0,5.0,8.895116666666667,0.0,-3.989410000000001,1.15665,0.0632,-1.60006,0.03597,864.5657718410929,7,12,0,0,0,478704.1011648048,3617395.147553252
-3.7,277.0,277.0,1.0,5.0,8.884423333333334,0.0,-3.6516866666666665,1.13849,0.05633,-1.64079,0.04223,878.3564194678917,7,12,0,0,0,478704.1011648048,3617395.147553252
-3.5,368.0,368.0,1.0,5.0,9.163756666666666,0.0,-3.4778766666666665,1.11063,0.04557,-1.43373,0.30912,900.3898688131961,7,12,0,0,0,478704.1011648048,3617395.147553252
-3.2,279.0,279.0,1.0,5.0,9.13874,0.0,-3.1630900000000004,1.09459,0.03925,-1.48667,0.31251,913.5840817109603,7,12,0,0,0,478704.1011648048,3617395.147553252
-3.0,216.0,216.0,1.0,5.0,8.858866666666666,0.0,-3.01786,1.10968,0.0452,-1.28314,0.58124,901.160694975128,7,12,0,0,0,478704.1011648048,3617395.147553252
-2.7,177.0,177.0,1.0,5.0,8.836256666666666,0.0,-2.719716666666667,1.10027,0.0415,-1.3321,0.57158,908.8678233524498,7,12,0,0,0,478704.1011648048,3617395.147553252
-2.6,412.0,412.0,1.0,5.0,9.05371,0.0,-2.5550633333333335,1.07122,0.02988,-1.15154,0.84814,933.515057597879,7,12,0,0,0,478704.1011648048,3617395.147553252
-2.3000000000000003,774.0,774.0,1.0,5.0,9.022946666666666,0.0,-2.2714333333333334,1.0595,0.0251,-1.29708,0.83748,943.8414346389806,7,12,0,0,0,478704.1011648048,3617395.147553252
-1.8,371.0,371.0,1.0,5.0,9.002766666666666,0.0,-1.7545733333333333,1.03752,0.016,-0.84921,1.33215,963.8368416994372,7,12,0,0,0,478704.1011648048,3617395.147553252
-1.5,280.0,280.0,1.0,5.0,8.994416666666666,0.0,-1.5098099999999999,1.02752,0.01179,-0.91215,1.33007,973.2170663344752,7,12,0,0,0,478704.1011648048,3617395.147553252
-1.4000000000000001,184.0,184.0,1.0,5.0,9.19985,0.0,-1.3845266666666667,0.97439,-0.01127,-0.77146,1.48691,1026.2831104588513,7,12,0,0,0,478704.1011648048,3617395.147553252
-1.2000000000000002,141.0,141.0,1.0,5.0,9.178973333333333,0.0,-1.1519566666666667,0.95553,-0.01976,-0.79286,1.49775,1046.5396167571923,7,12,0,0,0,478704.1011648048,3617395.147553252
-1.0,374.0,374.0,1.0,5.0,8.971686666666665,0.0,-1.0246899999999999,1.0085,0.00368,-0.5568,1.77136,991.571641051066,7,12,0,0,0,478704.1011648048,3617395.147553252
-0.8,185.0,185.0,1.0,5.0,8.978303333333335,0.0,-0.7987566666666667,0.99538,-0.00201,-0.64956,1.83546,1004.641443468826,7,12,0,0,0,478704.1011648048,3617395.147553252
-0.7000000000000001,236.0,236.0,1.0,5.0,9.008883333333333,0.0,-0.680335,0.989735,-0.005545000000000001,-0.7015750000000001,1.90252,1015.354393630153,7,12,0,0,0,478704.1011648048,3617395.147553252
-0.5,403.0,403.0,1.0,5.0,9.026773333333333,0.0,-0.4719933333333334,0.977075,-0.011260000000000001,-0.7047749999999999,2.05425,1029.0780981621438,7,12,0,0,0,478704.1011648048,3617395.147553252
-0.4,206.0,206.0,1.0,5.0,9.014083333333334,0.0,-0.3820733333333333,0.9711,-0.01274,-0.67933,1.97516,1029.7600659046443,7,12,0,0,0,478704.1011648048,3617395.147553252
-0.2,836.0,836.0,1.0,5.0,9.012373333333333,0.0,-0.18345666666666668,0.96796,-0.01414,-0.78392,2.01073,1033.1005413446835,7,12,0,0,0,478704.1011648048,3617395.147553252
-0.1,699.5,699.5,1.0,5.0,9.006186666666668,0.0,-0.09172833333333333,0.96934,-0.015345,0.89957,3.66887,1040.3289404758561,7,12,0,0,0,478704.1011648048,3617395.147553252
-5.1000000000000005,421.0,421.0,1.0,5.0,8.97472,0.0,-5.1047166666666675,1.22462,0.088,-2.17045,-0.76048,816.5798370106645,7,12,1,0,1,478702.4758994618,3617371.6096149646
-4.7,581.0,581.0,1.0,5.0,8.945943333333334,0.0,-4.716693333333334,1.18444,0.07351,-2.17315,-0.73075,844.2808415791429,7,12,1,0,1,478702.4758994618,3617371.6096149646
