X,Y,Linear Conductivity,Log Conductivity,Linear Resistivity,Log Resistivity,Depth
478688.439587248,3617238.17362718,1549.1094082650234,3.190082091566701,0.6455321971867586,-0.19008209156670117,-0.25
478688.052673219,3617239.1567588,1604.2545799022578,3.205273287809536,0.6233424623047839,-0.2052732878095357,-0.25
478687.931467035,3617239.58442801,1622.0057099984876,3.210052378738559,0.6165206409790829,-0.2100523787385589,-0.25
478687.922029152,3617239.67621198,1533.1541350488958,3.1855858186744648,0.6522501405040451,-0.1855858186744647,-0.25
478687.69734655,3617239.812491,1492.713404437772,3.173976432762505,0.6699209620728558,-0.17397643276250493,-0.25
478687.713809355,3617240.08312807,1576.3922439739983,3.197664289421439,0.6343598833492449,-0.19766428942143882,-0.25
478687.6222805,3617240.62928761,1481.742295990529,3.1707726778935093,0.6748811873062653,-0.1707726778935092,-0.25
478687.547546967,3617240.99311539,1487.521243590528,3.1724631766918563,0.6722593067553335,-0.17246317669185632,-0.25
478687.652325463,3617241.04123643,1501.6194988210705,3.1765598990481685,0.6659476656936762,-0.17655989904816838,-0.25
478687.593738034,3617241.04105392,1584.375617267394,3.1998581502131276,0.6311634621875342,-0.1998581502131276,-0.25
478687.374168942,3617241.13328772,1685.490667094601,3.2267263520865743,0.5932990431348817,-0.22672635208657435,-0.25
478687.183474452,3617240.96895227,1752.398796225943,3.243632946176641,0.5706463632328737,-0.2436329461766411,-0.25
478687.176185564,3617241.09152485,1606.484363130149,3.2058765026610563,0.6224772695898224,-0.20587650266105645,-0.25
478686.901340971,3617241.02775542,1740.3305080551738,3.240631733451572,0.5746034993763937,-0.24063173345157196,-0.25
478687.025592373,3617241.04966054,1852.2408807207216,3.267697465264453,0.539886583007979,-0.2676974652644526,-0.25
478687.292612216,3617241.10728808,1504.16191742687,3.17729458895512,0.6648220437003707,-0.17729458895512024,-0.25
478687.420509747,3617241.00786015,1886.87252373886,3.2757425604156634,0.5299775090362163,-0.2757425604156634,-0.25
478687.426926395,3617241.08606117,1615.3387382404903,3.2082636082292204,0.619065200584028,-0.20826360822922066,-0.25
478687.465389588,3617241.17312361,1742.8462985101294,3.2412590883995867,0.5737740619209216,-0.2412590883995865,-0.25
478687.719667006,3617241.23847675,1681.1945570698124,3.225617975291065,0.594815154376255,-0.22561797529106514,-0.25
478687.611255418,3617241.56111372,1678.3098100953275,3.224872133128829,0.5958375467895288,-0.22487213312882878,-0.25
478687.071982602,3617240.94732777,1707.188059903559,3.232281364629521,0.5857585485084117,-0.23228136462952098,-0.25
478687.418367627,3617240.49361814,1502.71575358716,3.176876839320677,0.6654618464023432,-0.17687683932067702,-0.25
478687.697775208,3617241.71612629,1665.2541829629454,3.221480533237435,0.6005089254426761,-0.22148053323743505,-0.25
478687.291257021,3617242.05572183,1703.155218152399,3.2312542294747795,0.5871455457153287,-0.2312542294747796,-0.25
478687.400025579,3617242.26488281,1626.973810113815,3.211380562024383,0.6146380438232407,-0.2113805620243833,-0.25
478687.389069613,3617242.2556683,1721.4065811556648,3.2358834589956964,0.5809202839974337,-0.23588345899569646,-0.25
478687.409502997,3617242.19157468,1664.595832023382,3.2213088028696126,0.6007464279088459,-0.22130880286961246,-0.25
478687.335000419,3617242.1766455,1593.7662156477932,3.202424616495226,0.6274445964419855,-0.20242461649522628,-0.25
478687.349378961,3617242.20340481,1706.882327910665,3.2322035819814046,0.5858634679427872,-0.23220358198140464,-0.25
478687.327775524,3617242.20745418,1582.156077608395,3.1992493238522908,0.6320488946397825,-0.19924932385229058,-0.25
478687.344928024,3617242.19202085,1607.2811594459338,3.2060918539353205,0.6221686816416878,-0.20609185393532065,-0.25
478687.395309362,3617242.7378766,1535.3951544980478,3.186220165697636,0.6512981346010047,-0.18622016569763616,-0.25
478687.32615467,3617243.15342504,1504.6289401821368,3.177429410826605,0.6646156891538647,-0.177429410826605,-0.25
478687.735702758,3617243.49958779,1480.7453257846362,3.1704803703934177,0.675335577689639,-0.17048037039341757,-0.25
478687.831322621,3617244.01332176,1476.32800447282,3.1691828579659367,0.6773562494041346,-0.16918285796593682,-0.25
478687.896994332,3617244.2820059,1537.7537229431914,3.186886787135699,0.6502991897077284,-0.18688678713569903,-0.25
478687.711804989,3617245.10827621,1397.232757245036,3.1452687588465116,0.7157003690435434,-0.14526875884651164,-0.25
478687.619740254,3617245.64735446,1432.4302598212385,3.1560734868264464,0.6981142663970223,-0.15607348682644628,-0.25
478687.379508997,3617246.06172947,1427.867813414579,3.15468800396547,0.7003449413210154,-0.15468800396547006,-0.25
478687.202219807,3617246.56434624,1482.0356925487906,3.170858663083474,0.6747475820101266,-0.17085866308347372,-0.25
478687.198496313,3617247.13618412,1551.589305606067,3.1907767775455245,0.6445004463403345,-0.1907767775455243,-0.25
478687.024494096,3617247.34964562,1523.0019897105635,3.1827004707160516,0.6565979603152347,-0.18270047071605167,-0.25
478687.118539846,3617247.73620701,1514.7484425683854,3.1803405146365957,0.6601756251383989,-0.1803405146365959,-0.25
478686.973516218,3617247.98501867,1485.3294075175706,3.1718227795808556,0.6732513306063864,-0.17182277958085573,-0.25
478687.076974069,3617248.38941997,1464.007160024695,3.1655432007330364,0.6830567686452653,-0.16554320073303655,-0.25
478687.059004515,3617248.9963926,1526.8920701470736,3.1838083396129613,0.6549251381623049,-0.18380833961296125,-0.25
478687.091764117,3617249.33843503,1410.4847382266903,3.149368391349385,0.7089761221076623,-0.14936839134938498,-0.25
478687.156632844,3617249.7185923,1493.548021308956,3.1742191908197674,0.6695466002650473,-0.17421919081976767,-0.25
478687.088326783,3617249.80064847,1435.4630906484028,3.1569920301771384,0.6966392981572915,-0.15699203017713845,-0.25
478687.016079823,3617250.23129221,1486.6689559817953,3.1722142727611984,0.6726447041060332,-0.1722142727611984,-0.25
478687.031215595,3617250.61186388,1556.279410466513,3.1920875717860775,0.6425581378733516,-0.1920875717860774,-0.25
478686.955734554,3617251.11303099,1529.4211542056876,3.184527092843406,0.653842139720733,-0.184527092843406,-0.25
478686.857573037,3617251.47998826,1573.7948234925827,3.196948112500046,0.6354068427933884,-0.19694811250004618,-0.25
478686.977470721,3617251.9009827,1632.537018504324,3.212863037879656,0.6125435372461977,-0.21286303787965616,-0.25
478686.831472778,3617252.3028387,1598.6086172131415,3.203742149681043,0.6255439819555725,-0.20374214968104334,-0.25
478686.898746853,3617252.83356962,1563.0058308826367,3.19396059818261,0.6397928787222088,-0.19396059818261,-0.25
