Unnamed: 0,El-array,xA (m),xB (m),xM (m),xN (m),Rho (Ohm.m),Dev. Rho (%),VMN (mV),IAB (mA),Coef. k (m),Stack,Name,Date,Gapfiller,Time_fixed,x_mapped,y_mapped,Matched
,Mixed / non conventional,54.0,48.0,43.5,58.5,1.18,0.0,-111.829,2354.518,-24.74,0,,1/28/2024 5:27:13 PM,0,1900-01-01 17:27:13,478692.1858,3617291.253,1
,Mixed / non conventional,54.0,48.0,57.0,43.5,1.12,0.0,146.299,2354.518,17.99,0,,1/28/2024 5:27:13 PM,0,1900-01-01 17:27:13,,,0
,Mixed / non conventional,54.0,48.0,42.0,60.0,1.23,0.0,-77.021,2354.518,-37.7,0,,1/28/2024 5:27:13 PM,0,1900-01-01 17:27:13,,,0
,Mixed / non conventional,54.0,48.0,58.5,42.0,1.2,0.0,94.671,2354.518,29.87,0,,1/28/2024 5:27:13 PM,0,1900-01-01 17:27:13,,,0
,Mixed / non conventional,54.0,48.0,45.0,57.0,1.07,0.0,-177.812,2354.518,-14.14,0,,1/28/2024 5:27:13 PM,0,1900-01-01 17:27:13,,,0
,Mixed / non conventional,54.0,48.0,55.5,45.0,0.89,0.0,251.05,2354.518,8.32,0,,1/28/2024 5:27:13 PM,0,1900-01-01 17:27:13,,,0
,Mixed / non conventional,54.0,48.0,46.5,55.5,0.81,0.0,-323.773,2354.518,-5.89,0,,1/28/2024 5:27:13 PM,0,1900-01-01 17:27:13,,,0
,Mixed / non conventional,54.0,48.0,52.5,46.5,0.74,0.0,269.811,2354.518,6.43,0,,1/28/2024 5:27:13 PM,0,1900-01-01 17:27:13,,,0
,Mixed / non conventional,54.0,48.0,49.5,52.5,0.73,0.0,-241.716,2354.518,-7.07,0,,1/28/2024 5:27:13 PM,0,1900-01-01 17:27:13,,,0
,Mixed / non conventional,54.0,48.0,51.0,49.5,0.8,0.0,132.975,2354.518,14.14,0,,1/28/2024 5:27:13 PM,0,1900-01-01 17:27:13,,,0
