Unnamed: 0,El-array,xA (m),xB (m),xM (m),xN (m),Rho (Ohm.m),Dev. Rho (%),VMN (mV),IAB (mA),Coef. k (m),Stack,Name,Date,Gapfiller,Time_fixed,x_mapped,y_mapped,Matched
,Mixed / non conventional,-6.0,-12.0,-9.0,-10.5,1.32,0.0,218.537,2338.847,14.14,0,,1/28/2024 5:24:51 PM,0,1900-01-01 17:24:51,478700.8767,3617383.879,1
,Mixed / non conventional,-6.0,-12.0,-10.5,-7.5,0.95,0.0,-315.312,2338.847,-7.07,0,,1/28/2024 5:24:51 PM,0,1900-01-01 17:24:51,,,0
,Mixed / non conventional,-6.0,-12.0,-7.5,-13.5,0.71,0.0,257.499,2338.847,6.43,0,,1/28/2024 5:24:51 PM,0,1900-01-01 17:24:51,,,0
,Mixed / non conventional,-6.0,-12.0,-13.5,-4.5,0.81,0.0,-320.644,2338.847,-5.89,0,,1/28/2024 5:24:51 PM,0,1900-01-01 17:24:51,,,0
,Mixed / non conventional,-6.0,-12.0,-4.5,-15.0,0.89,0.0,249.9,2338.847,8.32,0,,1/28/2024 5:24:51 PM,0,1900-01-01 17:24:51,,,0
,Mixed / non conventional,-6.0,-12.0,-15.0,-3.0,1.1,0.0,-181.552,2338.847,-14.14,0,,1/28/2024 5:24:51 PM,0,1900-01-01 17:24:51,,,0
,Mixed / non conventional,-6.0,-12.0,-3.0,-16.5,1.15,0.0,149.089,2338.847,17.99,0,,1/28/2024 5:24:51 PM,0,1900-01-01 17:24:51,,,0
,Mixed / non conventional,-6.0,-12.0,-16.5,-1.5,1.2,0.0,-113.532,2338.847,-24.74,0,,1/28/2024 5:24:51 PM,0,1900-01-01 17:24:51,,,0
,Mixed / non conventional,-6.0,-12.0,-1.5,-18.0,1.22,0.0,95.586,2338.847,29.87,0,,1/28/2024 5:24:51 PM,0,1900-01-01 17:24:51,,,0
,Mixed / non conventional,-6.0,-12.0,-18.0,0.0,1.24,0.0,-77.083,2338.847,-37.7,0,,1/28/2024 5:24:51 PM,0,1900-01-01 17:24:51,,,0
,Mixed / non conventional,-5.0,-11.0,-17.0,1.0,1.25,0.0,-78.342,2356.308,-37.7,0,,1/28/2024 5:24:54 PM,0,1900-01-01 17:24:54,478701.0692,3617381.836,1
