label,x,y,z,buried
1 1,478701.6252117827,3617386.494827864,0,0
1 2,478702.03787061974,3617387.936948762,0,0
1 3,478702.4505294567,3617389.37906966,0,0
1 4,478702.86318829376,3617390.821190558,0,0
1 5,478703.2758471308,3617392.263311456,0,0
1 6,478703.6885059678,3617393.7054323535,0,0
1 7,478704.10116480483,3617395.1475532516,0,0
1 8,478704.5138236419,3617396.5896741496,0,0
1 9,478704.92648247886,3617398.031795047,0,0
1 10,478705.3391413159,3617399.4739159453,0,0
1 11,478705.7518001529,3617400.9160368433,0,0
1 12,478706.1644589899,3617402.3581577414,0,0
1 13,478706.57711782696,3617403.800278639,0,0
2 1,478701.2494453567,3617380.5256572664,0,0
2 2,478701.45385437424,3617379.0396502162,0,0
2 3,478701.6582633917,3617377.553643166,0,0
2 4,478701.8626724092,3617376.0676361155,0,0
2 5,478702.06708142674,3617374.5816290653,0,0
2 6,478702.27149044425,3617373.0956220147,0,0
2 7,478702.4758994618,3617371.6096149646,0,0
2 8,478702.6803084793,3617370.1236079144,0,0
2 9,478702.8847174968,3617368.637600864,0,0
2 10,478703.08912651433,3617367.1515938137,0,0
2 11,478703.29353553185,3617365.6655867635,0,0
2 12,478703.49794454937,3617364.179579713,0,0
2 13,478703.7023535669,3617362.693572663,0,0
3 1,478701.6154869079,3617379.146737619,0,0
3 2,478701.8857770888,3617377.671290833,0,0
3 3,478702.15606726974,3617376.195844047,0,0
3 4,478702.42635745066,3617374.720397261,0,0
3 5,478702.6966476316,3617373.244950475,0,0
3 6,478702.9669378125,3617371.7695036894,0,0
3 7,478703.23722799344,3617370.294056903,0,0
3 8,478703.50751817436,3617368.8186101173,0,0
3 9,478703.7778083553,3617367.3431633315,0,0
3 10,478704.0480985362,3617365.8677165457,0,0
3 11,478704.31838871713,3617364.3922697594,0,0
3 12,478704.58867889806,3617362.9168229736,0,0
3 13,478704.858969079,3617361.441376188,0,0
4 1,478701.3941111379,3617381.0581536437,0,0
4 2,478701.5087194913,3617382.553768877,0,0
4 3,478701.62332784466,3617384.04938411,0,0
4 4,478701.7379361981,3617385.544999343,0,0
4 5,478701.8525445515,3617387.040614576,0,0
4 6,478701.9671529049,3617388.5362298093,0,0
4 7,478702.0817612583,3617390.031845042,0,0
4 8,478702.1963696117,3617391.527460275,0,0
4 9,478702.3109779651,3617393.0230755084,0,0
4 10,478702.42558631854,3617394.518690741,0,0
4 11,478702.54019467195,3617396.0143059744,0,0
4 12,478702.65480302536,3617397.5099212076,0,0
4 13,478702.7694113788,3617399.0055364403,0,0
5 1,478701.6071183758,3617379.7738808864,0,0
5 2,478702.01700715756,3617381.216791551,0,0
5 3,478702.4268959394,3617382.6597022163,0,0
5 4,478702.8367847212,3617384.102612881,0,0
5 5,478703.24667350296,3617385.5455235457,0,0
5 6,478703.6565622848,3617386.9884342104,0,0
5 7,478704.0664510666,3617388.431344875,0,0
5 8,478704.47633984836,3617389.87425554,0,0
5 9,478704.8862286302,3617391.3171662046,0,0
5 10,478705.296117412,3617392.7600768697,0,0
5 11,478705.70600619377,3617394.2029875345,0,0
5 12,478706.1158949756,3617395.645898199,0,0
5 13,478706.5257837574,3617397.088808864,0,0
6 1,478700.92837633815,3617378.700874875,0,0
6 2,478700.97868359176,3617380.200031031,0,0
6 3,478701.02899084537,3617381.699187187,0,0
6 4,478701.079298099,3617383.198343343,0,0
6 5,478701.1296053526,3617384.697499499,0,0
6 6,478701.1799126062,3617386.1966556553,0,0
6 7,478701.2302198598,3617387.695811811,0,0
6 8,478701.2805271134,3617389.194967967,0,0
6 9,478701.3308343671,3617390.694124123,0,0
6 10,478701.3811416207,3617392.193280279,0,0
6 11,478701.4314488743,3617393.6924364353,0,0
6 12,478701.4817561279,3617395.1915925913,0,0
6 13,478701.5320633815,3617396.6907487474,0,0
7 1,478700.8134824765,3617377.5355370725,0,0
7 2,478700.8708443339,3617379.034439877,0,0
7 3,478700.9282061912,3617380.533342682,0,0
7 4,478700.9855680486,3617382.032245486,0,0
7 5,478701.042929906,3617383.5311482907,0,0
7 6,478701.1002917633,3617385.030051095,0,0
7 7,478701.1576536207,3617386.5289538996,0,0
7 8,478701.2150154781,3617388.0278567043,0,0
7 9,478701.2723773354,3617389.5267595085,0,0
7 10,478701.3297391928,3617391.025662313,0,0
7 11,478701.3871010501,3617392.5245651174,0,0
7 12,478701.4444629075,3617394.023467922,0,0
7 13,478701.5018247649,3617395.522370727,0,0
8 1,478701.1998007508,3617372.1786097093,0,0
8 2,478701.42960131395,3617370.6963169915,0,0
8 3,478701.6594018771,3617369.2140242737,0,0
8 4,478701.8892024402,3617367.731731556,0,0
8 5,478702.1190030033,3617366.249438838,0,0
8 6,478702.3488035664,3617364.7671461203,0,0
8 7,478702.57860412955,3617363.2848534025,0,0
8 8,478702.8084046927,3617361.8025606847,0,0
8 9,478703.0382052558,3617360.320267967,0,0
8 10,478703.2680058189,3617358.837975249,0,0
8 11,478703.497806382,3617357.3556825314,0,0
8 12,478703.72760694515,3617355.873389814,0,0
8 13,478703.9574075083,3617354.3910970963,0,0
9 1,478701.2381286559,3617374.0417669867,0,0
9 2,478701.26102514775,3617375.541592227,0,0
9 3,478701.2839216396,3617377.0414174665,0,0
9 4,478701.3068181315,3617378.5412427066,0,0
9 5,478701.3297146234,3617380.0410679467,0,0
9 6,478701.35261111526,3617381.540893187,0,0
9 7,478701.3755076071,3617383.040718427,0,0
9 8,478701.398404099,3617384.540543667,0,0
9 9,478701.4213005909,3617386.040368907,0,0
9 10,478701.4441970828,3617387.540194147,0,0
9 11,478701.46709357464,3617389.040019387,0,0
9 12,478701.4899900665,3617390.539844627,0,0
9 13,478701.5128865584,3617392.039669867,0,0
10 1,478701.6912268279,3617372.598629373,0,0
10 2,478702.0772719488,3617374.048101403,0,0
10 3,478702.46331706975,3617375.497573432,0,0
10 4,478702.84936219064,3617376.9470454617,0,0
10 5,478703.2354073116,3617378.3965174914,0,0
10 6,478703.6214524325,3617379.845989521,0,0
10 7,478704.0074975534,3617381.295461551,0,0
10 8,478704.3935426743,3617382.74493358,0,0
10 9,478704.77958779526,3617384.1944056097,0,0
10 10,478705.16563291615,3617385.6438776394,0,0
10 11,478705.55167803704,3617387.093349669,0,0
10 12,478705.937723158,3617388.542821699,0,0
10 13,478706.3237682789,3617389.9922937285,0,0
11 1,478701.6378912425,3617371.29280305,0,0
11 2,478702.2810846744,3617372.647905337,0,0
11 3,478702.92427810625,3617374.0030076248,0,0
11 4,478703.56747153815,3617375.358109912,0,0
11 5,478704.21066497004,3617376.713212199,0,0
11 6,478704.85385840194,3617378.0683144866,0,0
11 7,478705.4970518338,3617379.423416774,0,0
11 8,478706.1402452657,3617380.7785190614,0,0
11 9,478706.7834386976,3617382.1336213485,0,0
11 10,478707.42663212947,3617383.488723636,0,0
11 11,478708.06982556137,3617384.8438259233,0,0
11 12,478708.7130189932,3617386.198928211,0,0
11 13,478709.3562124251,3617387.554030498,0,0
12 1,478700.01567212655,3617369.488297424,0,0
12 2,478700.1554512215,3617370.9817704917,0,0
12 3,478700.29523031646,3617372.4752435596,0,0
12 4,478700.4350094114,3617373.9687166275,0,0
12 5,478700.5747885063,3617375.462189696,0,0
12 6,478700.7145676013,3617376.9556627637,0,0
12 7,478700.85434669623,3617378.4491358316,0,0
12 8,478700.9941257911,3617379.9426088994,0,0
12 9,478701.1339048861,3617381.4360819673,0,0
12 10,478701.27368398104,3617382.929555035,0,0
12 11,478701.413463076,3617384.423028103,0,0
12 12,478701.5532421709,3617385.916501171,0,0
12 13,478701.69302126585,3617387.409974239,0,0
13 1,478699.61697358685,3617364.0677096443,0,0
13 2,478699.656928777,3617362.568241878,0,0
13 3,478699.6968839671,3617361.0687741116,0,0
13 4,478699.73683915724,3617359.569306345,0,0
13 5,478699.7767943474,3617358.0698385783,0,0
13 6,478699.81674953754,3617356.570370812,0,0
13 7,478699.85670472763,3617355.0709030456,0,0
13 8,478699.8966599178,3617353.5714352787,0,0
13 9,478699.93661510793,3617352.0719675124,0,0
13 10,478699.976570298,3617350.572499746,0,0
13 11,478700.0165254882,3617349.0730319796,0,0
13 12,478700.0564806783,3617347.573564213,0,0
13 13,478700.0964358685,3617346.0740964464,0,0
14 1,478699.826802039,3617362.044140452,0,0
14 2,478699.8445785683,3617360.5442457907,0,0
14 3,478699.86235509755,3617359.0443511293,0,0
14 4,478699.8801316268,3617357.544456468,0,0
14 5,478699.89790815604,3617356.0445618066,0,0
14 6,478699.9156846853,3617354.5446671452,0,0
14 7,478699.93346121453,3617353.044772484,0,0
14 8,478699.9512377438,3617351.5448778225,0,0
14 9,478699.969014273,3617350.0449831616,0,0
14 10,478699.9867908023,3617348.5450885003,0,0
14 11,478700.0045673315,3617347.045193839,0,0
14 12,478700.02234386076,3617345.5452991775,0,0
14 13,478700.04012039,3617344.045404516,0,0
15 1,478700.21203059773,3617360.7175754122,0,0
15 2,478700.485728546,3617359.2427569716,0,0
15 3,478700.75942649425,3617357.767938531,0,0
15 4,478701.0331244425,3617356.29312009,0,0
15 5,478701.3068223908,3617354.8183016493,0,0
15 6,478701.5805203391,3617353.3434832087,0,0
15 7,478701.85421828734,3617351.868664768,0,0
15 8,478702.12791623565,3617350.393846327,0,0
15 9,478702.4016141839,3617348.9190278864,0,0
15 10,478702.67531213217,3617347.4442094457,0,0
15 11,478702.9490100804,3617345.969391005,0,0
15 12,478703.22270802874,3617344.494572564,0,0
15 13,478703.496405977,3617343.0197541234,0,0
16 1,478700.2120457548,3617363.2436069082,0,0
16 2,478700.4037050709,3617364.7313120896,0,0
16 3,478700.595364387,3617366.219017271,0,0
16 4,478700.7870237031,3617367.7067224523,0,0
16 5,478700.9786830192,3617369.1944276337,0,0
16 6,478701.1703423353,3617370.682132815,0,0
16 7,478701.3620016514,3617372.1698379964,0,0
16 8,478701.5536609675,3617373.6575431777,0,0
16 9,478701.7453202836,3617375.145248359,0,0
16 10,478701.9369795997,3617376.63295354,0,0
16 11,478702.1286389158,3617378.1206587213,0,0
16 12,478702.3202982319,3617379.6083639027,0,0
