Z_bin,param,elm_id,region,cellType,X,Y,Z,Resistivity(ohm.m),Resistivity(log10),Sensitivity(log10),Scaled_Sensitivity(log10),Conductivity(mS/m),eX,eY,source,eX_index,filtered_row_index,x,y
-5.1000000000000005,421.0,421.0,1.0,5.0,8.97472,0.0,-5.1047166666666675,1.35458,0.1318,-2.37232,-0.96235,738.2362060564899,7,12,0,0,0,478704.1011648048,3617395.147553252
-4.7,581.0,581.0,1.0,5.0,8.945943333333334,0.0,-4.716693333333334,1.36609,0.13548,-2.41992,-0.97752,732.0161921981714,7,12,0,0,0,478704.1011648048,3617395.147553252
-4.1000000000000005,775.0,775.0,1.0,5.0,9.19391,0.0,-4.138573333333333,1.37393,0.13796,-2.33377,-0.66121,727.8391184412596,7,12,0,0,0,478704.1011648048,3617395.147553252
-4.0,365.0,365.0,1.0,5.0,8.895116666666667,0.0,-3.989410000000001,1.39432,0.14436,-2.02587,-0.38983,717.1954787997016,7,12,0,0,0,478704.1011648048,3617395.147553252
-3.7,277.0,277.0,1.0,5.0,8.884423333333334,0.0,-3.6516866666666665,1.41127,0.14961,-2.09356,-0.41054,708.5816321469315,7,12,0,0,0,478704.1011648048,3617395.147553252
-3.5,368.0,368.0,1.0,5.0,9.163756666666666,0.0,-3.4778766666666665,1.40143,0.14657,-1.84687,-0.10402,713.5568669145088,7,12,0,0,0,478704.1011648048,3617395.147553252
-3.2,279.0,279.0,1.0,5.0,9.13874,0.0,-3.1630900000000004,1.41787,0.15164,-1.91104,-0.11186,705.2832770282184,7,12,0,0,0,478704.1011648048,3617395.147553252
-3.0,216.0,216.0,1.0,5.0,8.858866666666666,0.0,-3.01786,1.45258,0.16214,-1.64873,0.21565,688.4302413636426,7,12,0,0,0,478704.1011648048,3617395.147553252
-2.7,177.0,177.0,1.0,5.0,8.836256666666666,0.0,-2.719716666666667,1.47793,0.16966,-1.70861,0.19507,676.6220321666115,7,12,0,0,0,478704.1011648048,3617395.147553252
-2.6,412.0,412.0,1.0,5.0,9.05371,0.0,-2.5550633333333335,1.45817,0.16381,-1.4444,0.55529,685.7910943168492,7,12,0,0,0,478704.1011648048,3617395.147553252
-2.3000000000000003,774.0,774.0,1.0,5.0,9.022946666666666,0.0,-2.2714333333333334,5.31154,0.72522,-2.70548,-0.57091,188.26931549042274,7,12,0,0,0,478704.1011648048,3617395.147553252
-1.8,371.0,371.0,1.0,5.0,9.002766666666666,0.0,-1.7545733333333333,1.29583,0.11255,-0.74407,1.43729,771.7061651605535,7,12,0,0,0,478704.1011648048,3617395.147553252
-1.5,280.0,280.0,1.0,5.0,8.994416666666666,0.0,-1.5098099999999999,0.98215,-0.00782,-0.56595,1.67627,1018.1744132769944,7,12,0,0,0,478704.1011648048,3617395.147553252
-1.4000000000000001,184.0,184.0,1.0,5.0,9.19985,0.0,-1.3845266666666667,0.93817,-0.02772,-0.49834,1.76003,1065.9048999648253,7,12,0,0,0,478704.1011648048,3617395.147553252
-1.2000000000000002,141.0,141.0,1.0,5.0,9.178973333333333,0.0,-1.1519566666666667,0.77682,-0.10968,-0.36859,1.92201,1287.2995031023918,7,12,0,0,0,478704.1011648048,3617395.147553252
-1.0,374.0,374.0,1.0,5.0,8.971686666666665,0.0,-1.0246899999999999,0.74715,-0.12659,-0.12125,2.20692,1338.4193267750786,7,12,0,0,0,478704.1011648048,3617395.147553252
-0.8,185.0,185.0,1.0,5.0,8.978303333333335,0.0,-0.7987566666666667,0.73365,-0.13451,-0.2337,2.25133,1363.0477748245075,7,12,0,0,0,478704.1011648048,3617395.147553252
-0.7000000000000001,236.0,236.0,1.0,5.0,9.008883333333333,0.0,-0.680335,0.7376100000000001,-0.13387,-0.333725,2.2703699999999998,1366.356857501383,7,12,0,0,0,478704.1011648048,3617395.147553252
-0.5,403.0,403.0,1.0,5.0,9.026773333333333,0.0,-0.4719933333333334,0.794145,-0.101975,-0.457885,2.30114,1270.1148665339301,7,12,0,0,0,478704.1011648048,3617395.147553252
-0.4,206.0,206.0,1.0,5.0,9.014083333333334,0.0,-0.3820733333333333,0.7892,-0.10281,-0.43304,2.22145,1267.1059300557527,7,12,0,0,0,478704.1011648048,3617395.147553252
-0.2,836.0,836.0,1.0,5.0,9.012373333333333,0.0,-0.18345666666666668,0.93339,-0.02994,-0.66854,2.12612,1071.3635243574497,7,12,0,0,0,478704.1011648048,3617395.147553252
-0.1,699.5,699.5,1.0,5.0,9.006186666666668,0.0,-0.09172833333333333,0.94006,-0.030385,0.5869599999999999,3.356255,1081.2517948065522,7,12,0,0,0,478704.1011648048,3617395.147553252
-5.1000000000000005,421.0,421.0,1.0,5.0,8.97472,0.0,-5.1047166666666675,1.27011,0.10384,-2.41863,-1.00866,787.3333805733362,7,12,1,0,1,478702.4758994618,3617371.6096149646
-4.7,581.0,581.0,1.0,5.0,8.945943333333334,0.0,-4.716693333333334,1.26093,0.10069,-2.45362,-1.01122,793.0654358291102,7,12,1,0,1,478702.4758994618,3617371.6096149646
-4.1000000000000005,775.0,775.0,1.0,5.0,9.19391,0.0,-4.138573333333333,1.24041,0.09357,-2.37396,-0.70141,806.1850517167711,7,12,1,0,1,478702.4758994618,3617371.6096149646
-4.0,365.0,365.0,1.0,5.0,8.895116666666667,0.0,-3.989410000000001,1.24176,0.09404,-2.07922,-0.44319,805.3085942533179,7,12,1,0,1,478702.4758994618,3617371.6096149646
-3.7,277.0,277.0,1.0,5.0,8.884423333333334,0.0,-3.6516866666666665,1.23182,0.09055,-2.12869,-0.44567,811.8069198421848,7,12,1,0,1,478702.4758994618,3617371.6096149646
-3.5,368.0,368.0,1.0,5.0,9.163756666666666,0.0,-3.4778766666666665,1.21814,0.0857,-1.90235,-0.15949,820.9237033510105,7,12,1,0,1,478702.4758994618,3617371.6096149646
-3.2,279.0,279.0,1.0,5.0,9.13874,0.0,-3.1630900000000004,1.20635,0.08147,-1.95338,-0.1542,828.9468230613006,7,12,1,0,1,478702.4758994618,3617371.6096149646
-3.0,216.0,216.0,1.0,5.0,8.858866666666666,0.0,-3.01786,1.21175,0.08341,-1.71863,0.14574,825.2527336496802,7,12,1,0,1,478702.4758994618,3617371.6096149646
-2.7,177.0,177.0,1.0,5.0,8.836256666666666,0.0,-2.719716666666667,1.20188,0.07986,-1.75837,0.14531,832.0298199487469,7,12,1,0,1,478702.4758994618,3617371.6096149646
-2.6,412.0,412.0,1.0,5.0,9.05371,0.0,-2.5550633333333335,1.18248,0.07279,-1.52246,0.47723,845.6802652053312,7,12,1,0,1,478702.4758994618,3617371.6096149646
-2.3000000000000003,774.0,774.0,1.0,5.0,9.022946666666666,0.0,-2.2714333333333334,4.54413,0.65745,-2.76584,-0.63128,220.06412668651646,7,12,1,0,1,478702.4758994618,3617371.6096149646
-1.8,371.0,371.0,1.0,5.0,9.002766666666666,0.0,-1.7545733333333333,1.06611,0.0278,-0.83357,1.34779,937.9895132772417,7,12,1,0,1,478702.4758994618,3617371.6096149646
-1.5,280.0,280.0,1.0,5.0,8.994416666666666,0.0,-1.5098099999999999,0.78593,-0.10462,-0.6402,1.60202,1272.37794714542,7,12,1,0,1,478702.4758994618,3617371.6096149646
-1.4000000000000001,184.0,184.0,1.0,5.0,9.19985,0.0,-1.3845266666666667,0.7423,-0.12942,-0.49939,1.75899,1347.164219318335,7,12,1,0,1,478702.4758994618,3617371.6096149646
-1.2000000000000002,141.0,141.0,1.0,5.0,9.178973333333333,0.0,-1.1519566666666667,0.59781,-0.22344,-0.36162,1.92899,1672.7722855087738,7,12,1,0,1,478702.4758994618,3617371.6096149646
-1.0,374.0,374.0,1.0,5.0,8.971686666666665,0.0,-1.0246899999999999,0.56528,-0.24774,-0.14382,2.18434,1769.0348146051515,7,12,1,0,1,478702.4758994618,3617371.6096149646
-0.8,185.0,185.0,1.0,5.0,8.978303333333335,0.0,-0.7987566666666667,0.54273,-0.26541,-0.24727,2.23775,1842.5368046726733,7,12,1,0,1,478702.4758994618,3617371.6096149646
-0.7000000000000001,236.0,236.0,1.0,5.0,9.008883333333333,0.0,-0.680335,0.5305949999999999,-0.27608,-0.302125,2.3019749999999997,1891.9884508827315,7,12,1,0,1,478702.4758994618,3617371.6096149646
-0.5,403.0,403.0,1.0,5.0,9.026773333333333,0.0,-0.4719933333333334,0.565965,-0.248165,-0.40679,2.35224,1774.6744871996752,7,12,1,0,1,478702.4758994618,3617371.6096149646
-0.4,206.0,206.0,1.0,5.0,9.014083333333334,0.0,-0.3820733333333333,0.57326,-0.24164,-0.43765,2.21685,1744.4091686145903,7,12,1,0,1,478702.4758994618,3617371.6096149646
-0.2,836.0,836.0,1.0,5.0,9.012373333333333,0.0,-0.18345666666666668,0.67385,-0.17144,-0.63555,2.15911,1484.0097944646436,7,12,1,0,1,478702.4758994618,3617371.6096149646
-0.1,699.5,699.5,1.0,5.0,9.006186666666668,0.0,-0.09172833333333333,0.6633249999999999,-0.17981999999999998,0.795695,3.56499,1518.3182730001174,7,12,1,0,1,478702.4758994618,3617371.6096149646
-5.1000000000000005,421.0,421.0,1.0,5.0,8.97472,0.0,-5.1047166666666675,1.2659,0.1024,-2.4028,-0.99283,789.9518129394107,7,12,2,0,2,478703.23722799344,3617370.294056903
-4.7,581.0,581.0,1.0,5.0,8.945943333333334,0.0,-4.716693333333334,1.25382,0.09824,-2.43792,-0.99551,797.5626485460433,7,12,2,0,2,478703.23722799344,3617370.294056903
-4.1000000000000005,775.0,775.0,1.0,5.0,9.19391,0.0,-4.138573333333333,1.23101,0.09026,-2.35829,-0.68574,812.3410857750953,7,12,2,0,2,478703.23722799344,3617370.294056903
-4.0,365.0,365.0,1.0,5.0,8.895116666666667,0.0,-3.989410000000001,1.22767,0.08908,-2.07554,-0.4395,814.551141593425,7,12,2,0,2,478703.23722799344,3617370.294056903
-3.7,277.0,277.0,1.0,5.0,8.884423333333334,0.0,-3.6516866666666665,1.21364,0.08409,-2.12496,-0.44194,823.9675686364984,7,12,2,0,2,478703.23722799344,3617370.294056903
-3.5,368.0,368.0,1.0,5.0,9.163756666666666,0.0,-3.4778766666666665,1.20135,0.07967,-1.90285,-0.15999,832.3968868356433,7,12,2,0,2,478703.23722799344,3617370.294056903
-3.2,279.0,279.0,1.0,5.0,9.13874,0.0,-3.1630900000000004,1.18522,0.0738,-1.95679,-0.15762,843.7252155717927,7,12,2,0,2,478703.23722799344,3617370.294056903
-3.0,216.0,216.0,1.0,5.0,8.858866666666666,0.0,-3.01786,1.18406,0.07337,-1.74331,0.12106,844.551796361671,7,12,2,0,2,478703.23722799344,3617370.294056903
-2.7,177.0,177.0,1.0,5.0,8.836256666666666,0.0,-2.719716666666667,1.16879,0.06774,-1.78386,0.11982,855.5856911849006,7,12,2,0,2,478703.23722799344,3617370.294056903
-2.6,412.0,412.0,1.0,5.0,9.05371,0.0,-2.5550633333333335,1.15152,0.06127,-1.56583,0.43385,868.4173961372793,7,12,2,0,2,478703.23722799344,3617370.294056903
-2.3000000000000003,774.0,774.0,1.0,5.0,9.022946666666666,0.0,-2.2714333333333334,4.94474,0.69414,-2.94873,-0.81417,202.23510235118528,7,12,2,0,2,478703.23722799344,3617370.294056903
-1.8,371.0,371.0,1.0,5.0,9.002766666666666,0.0,-1.7545733333333333,1.00912,0.00394,-0.86451,1.31685,990.962422704931,7,12,2,0,2,478703.23722799344,3617370.294056903
-1.5,280.0,280.0,1.0,5.0,8.994416666666666,0.0,-1.5098099999999999,0.72992,-0.13672,-0.66552,1.5767,1370.0131521262604,7,12,2,0,2,478703.23722799344,3617370.294056903
-1.4000000000000001,184.0,184.0,1.0,5.0,9.19985,0.0,-1.3845266666666667,0.71013,-0.14866,-0.52559,1.73279,1408.1928660949402,7,12,2,0,2,478703.23722799344,3617370.294056903
-1.2000000000000002,141.0,141.0,1.0,5.0,9.178973333333333,0.0,-1.1519566666666667,0.56812,-0.24556,-0.3859,1.90471,1760.1915088361616,7,12,2,0,2,478703.23722799344,3617370.294056903
-1.0,374.0,374.0,1.0,5.0,8.971686666666665,0.0,-1.0246899999999999,0.51269,-0.29014,-0.17654,2.15163,1950.4964013341396,7,12,2,0,2,478703.23722799344,3617370.294056903
-0.8,185.0,185.0,1.0,5.0,8.978303333333335,0.0,-0.7987566666666667,0.48938,-0.31036,-0.28586,2.19916,2043.4018554088848,7,12,2,0,2,478703.23722799344,3617370.294056903
-0.7000000000000001,236.0,236.0,1.0,5.0,9.008883333333333,0.0,-0.680335,0.4858,-0.31375,-0.33447,2.2696300000000003,2060.4456754344847,7,12,2,0,2,478703.23722799344,3617370.294056903
-0.5,403.0,403.0,1.0,5.0,9.026773333333333,0.0,-0.4719933333333334,0.5191749999999999,-0.284945,-0.44560500000000003,2.31342,1928.4213139811422,7,12,2,0,2,478703.23722799344,3617370.294056903
-0.4,206.0,206.0,1.0,5.0,9.014083333333334,0.0,-0.3820733333333333,0.5166,-0.28684,-0.4583,2.19619,1935.7336430507164,7,12,2,0,2,478703.23722799344,3617370.294056903
-0.2,836.0,836.0,1.0,5.0,9.012373333333333,0.0,-0.18345666666666668,0.61189,-0.21333,-0.68643,2.10822,1634.2806713624998,7,12,2,0,2,478703.23722799344,3617370.294056903
-0.1,699.5,699.5,1.0,5.0,9.006186666666668,0.0,-0.09172833333333333,0.61153,-0.21411000000000002,0.703235,3.47253,1639.2538327782736,7,12,2,0,2,478703.23722799344,3617370.294056903
-5.1000000000000005,421.0,421.0,1.0,5.0,8.97472,0.0,-5.1047166666666675,1.28085,0.1075,-2.51958,-1.10961,780.7315454580942,7,12,3,0,3,478702.0817612583,3617390.031845042
-4.7,581.0,581.0,1.0,5.0,8.945943333333334,0.0,-4.716693333333334,1.27587,0.1058,-2.55519,-1.11279,783.7789116446032,7,12,3,0,3,478702.0817612583,3617390.031845042
-4.1000000000000005,775.0,775.0,1.0,5.0,9.19391,0.0,-4.138573333333333,1.26397,0.10174,-2.46817,-0.79562,791.1580179909333,7,12,3,0,3,478702.0817612583,3617390.031845042
-4.0,365.0,365.0,1.0,5.0,8.895116666666667,0.0,-3.989410000000001,1.26675,0.10269,-2.18191,-0.54587,789.421748569173,7,12,3,0,3,478702.0817612583,3617390.031845042
-3.7,277.0,277.0,1.0,5.0,8.884423333333334,0.0,-3.6516866666666665,1.26267,0.10129,-2.23108,-0.54806,791.9725660703114,7,12,3,0,3,478702.0817612583,3617390.031845042
-3.5,368.0,368.0,1.0,5.0,9.163756666666666,0.0,-3.4778766666666665,1.25347,0.09811,-1.98171,-0.23885,797.7853478743009,7,12,3,0,3,478702.0817612583,3617390.031845042
-3.2,279.0,279.0,1.0,5.0,9.13874,0.0,-3.1630900000000004,1.24856,0.09641,-2.04246,-0.24328,800.9226629076697,7,12,3,0,3,478702.0817612583,3617390.031845042
