Z_bin,param,elm_id,region,cellType,X,Y,Z,Resistivity(ohm.m),Resistivity(log10),Sensitivity(log10),Scaled_Sensitivity(log10),Conductivity(mS/m),eX,eY,source,eX_index,filtered_row_index,x,y
-5.1000000000000005,421.0,421.0,1.0,5.0,8.97472,0.0,-5.1047166666666675,1.16303,0.06559,-2.01911,-0.60914,859.8230484166359,7,12,0,0,0,478704.1011648048,3617395.147553252
-4.7,581.0,581.0,1.0,5.0,8.945943333333334,0.0,-4.716693333333334,1.14935,0.06045,-2.05028,-0.60788,870.056988732762,7,12,0,0,0,478704.1011648048,3617395.147553252
-4.1000000000000005,775.0,775.0,1.0,5.0,9.19391,0.0,-4.138573333333333,1.1168,0.04798,-1.95914,-0.28658,895.4154727793696,7,12,0,0,0,478704.1011648048,3617395.147553252
-4.0,365.0,365.0,1.0,5.0,8.895116666666667,0.0,-3.989410000000001,1.12328,0.05049,-1.65633,-0.0203,890.2499821950003,7,12,0,0,0,478704.1011648048,3617395.147553252
-3.7,277.0,277.0,1.0,5.0,8.884423333333334,0.0,-3.6516866666666665,1.11086,0.04566,-1.70538,-0.02236,900.2034459787913,7,12,0,0,0,478704.1011648048,3617395.147553252
-3.5,368.0,368.0,1.0,5.0,9.163756666666666,0.0,-3.4778766666666665,1.08701,0.03623,-1.48943,0.25343,919.9547382268792,7,12,0,0,0,478704.1011648048,3617395.147553252
-3.2,279.0,279.0,1.0,5.0,9.13874,0.0,-3.1630900000000004,1.07041,0.02955,-1.53931,0.25986,934.2214665408582,7,12,0,0,0,478704.1011648048,3617395.147553252
-3.0,216.0,216.0,1.0,5.0,8.858866666666666,0.0,-3.01786,1.08418,0.0351,-1.33022,0.53415,922.3560663358484,7,12,0,0,0,478704.1011648048,3617395.147553252
-2.7,177.0,177.0,1.0,5.0,8.836256666666666,0.0,-2.719716666666667,1.07385,0.03095,-1.37734,0.52634,931.2287563439959,7,12,0,0,0,478704.1011648048,3617395.147553252
-2.6,412.0,412.0,1.0,5.0,9.05371,0.0,-2.5550633333333335,1.04125,0.01755,-1.19187,0.80782,960.3841536614646,7,12,0,0,0,478704.1011648048,3617395.147553252
-2.3000000000000003,774.0,774.0,1.0,5.0,9.022946666666666,0.0,-2.2714333333333334,1.02905,0.01244,-1.33608,0.79848,971.7700791992614,7,12,0,0,0,478704.1011648048,3617395.147553252
-1.8,371.0,371.0,1.0,5.0,9.002766666666666,0.0,-1.7545733333333333,1.00559,0.00242,-0.87902,1.30234,994.4410743941368,7,12,0,0,0,478704.1011648048,3617395.147553252
-1.5,280.0,280.0,1.0,5.0,8.994416666666666,0.0,-1.5098099999999999,0.99518,-0.0021,-0.93802,1.3042,1004.8433449225266,7,12,0,0,0,478704.1011648048,3617395.147553252
-1.4000000000000001,184.0,184.0,1.0,5.0,9.19985,0.0,-1.3845266666666667,0.94124,-0.0263,-0.79058,1.4678,1062.428286090689,7,12,0,0,0,478704.1011648048,3617395.147553252
-1.2000000000000002,141.0,141.0,1.0,5.0,9.178973333333333,0.0,-1.1519566666666667,0.92373,-0.03446,-0.81249,1.47812,1082.5674168858866,7,12,0,0,0,478704.1011648048,3617395.147553252
-1.0,374.0,374.0,1.0,5.0,8.971686666666665,0.0,-1.0246899999999999,0.97508,-0.01096,-0.56941,1.75876,1025.5568773844197,7,12,0,0,0,478704.1011648048,3617395.147553252
-0.8,185.0,185.0,1.0,5.0,8.978303333333335,0.0,-0.7987566666666667,0.95943,-0.01799,-0.65232,1.8327,1042.2855236963615,7,12,0,0,0,478704.1011648048,3617395.147553252
-0.7000000000000001,236.0,236.0,1.0,5.0,9.008883333333333,0.0,-0.680335,0.95407,-0.021655,-0.7135400000000001,1.89056,1054.1245152920842,7,12,0,0,0,478704.1011648048,3617395.147553252
-0.5,403.0,403.0,1.0,5.0,9.026773333333333,0.0,-0.4719933333333334,0.938045,-0.029169999999999998,-0.70729,2.05174,1072.9101596228738,7,12,0,0,0,478704.1011648048,3617395.147553252
-0.4,206.0,206.0,1.0,5.0,9.014083333333334,0.0,-0.3820733333333333,0.93031,-0.03137,-0.69623,1.95827,1074.9105136997346,7,12,0,0,0,478704.1011648048,3617395.147553252
-0.2,836.0,836.0,1.0,5.0,9.012373333333333,0.0,-0.18345666666666668,0.92423,-0.03422,-0.76511,2.02954,1081.9817577875638,7,12,0,0,0,478704.1011648048,3617395.147553252
-0.1,699.5,699.5,1.0,5.0,9.006186666666668,0.0,-0.09172833333333333,0.926755,-0.03543,0.87617,3.6454649999999997,1090.9943360061166,7,12,0,0,0,478704.1011648048,3617395.147553252
-5.1000000000000005,421.0,421.0,1.0,5.0,8.97472,0.0,-5.1047166666666675,1.22459,0.08799,-2.17035,-0.76038,816.5998415796307,7,12,1,0,1,478702.4758994618,3617371.6096149646
-4.7,581.0,581.0,1.0,5.0,8.945943333333334,0.0,-4.716693333333334,1.18442,0.07351,-2.17306,-0.73065,844.2950980226609,7,12,1,0,1,478702.4758994618,3617371.6096149646
-4.1000000000000005,775.0,775.0,1.0,5.0,9.19391,0.0,-4.138573333333333,1.11741,0.04821,-2.07916,-0.40661,894.9266607601506,7,12,1,0,1,478702.4758994618,3617371.6096149646
-4.0,365.0,365.0,1.0,5.0,8.895116666666667,0.0,-3.989410000000001,1.10762,0.04439,-1.79452,-0.15848,902.8367129520955,7,12,1,0,1,478702.4758994618,3617371.6096149646
-3.7,277.0,277.0,1.0,5.0,8.884423333333334,0.0,-3.6516866666666665,1.0679,0.02853,-1.80997,-0.12695,936.4172675344133,7,12,1,0,1,478702.4758994618,3617371.6096149646
-3.5,368.0,368.0,1.0,5.0,9.163756666666666,0.0,-3.4778766666666665,1.04238,0.01803,-1.6142,0.12866,959.3430418849172,7,12,1,0,1,478702.4758994618,3617371.6096149646
-3.2,279.0,279.0,1.0,5.0,9.13874,0.0,-3.1630900000000004,1.0049,0.00212,-1.6383,0.16088,995.1238929246692,7,12,1,0,1,478702.4758994618,3617371.6096149646
-3.0,216.0,216.0,1.0,5.0,8.858866666666666,0.0,-3.01786,0.99732,-0.00117,-1.44737,0.417,1002.6872017005575,7,12,1,0,1,478702.4758994618,3617371.6096149646
-2.7,177.0,177.0,1.0,5.0,8.836256666666666,0.0,-2.719716666666667,0.95753,-0.01885,-1.45218,0.4515,1044.3537017116957,7,12,1,0,1,478702.4758994618,3617371.6096149646
-2.6,412.0,412.0,1.0,5.0,9.05371,0.0,-2.5550633333333335,0.92011,-0.03616,-1.27927,0.72041,1086.826575083414,7,12,1,0,1,478702.4758994618,3617371.6096149646
-2.3000000000000003,774.0,774.0,1.0,5.0,9.022946666666666,0.0,-2.2714333333333334,0.8898,-0.05071,-1.39191,0.74266,1123.8480557428636,7,12,1,0,1,478702.4758994618,3617371.6096149646
-1.8,371.0,371.0,1.0,5.0,9.002766666666666,0.0,-1.7545733333333333,0.81995,-0.08621,-0.91735,1.26401,1219.5865601561072,7,12,1,0,1,478702.4758994618,3617371.6096149646
-1.5,280.0,280.0,1.0,5.0,8.994416666666666,0.0,-1.5098099999999999,0.7894,-0.1027,-0.94247,1.29976,1266.784899923993,7,12,1,0,1,478702.4758994618,3617371.6096149646
-1.4000000000000001,184.0,184.0,1.0,5.0,9.19985,0.0,-1.3845266666666667,0.74354,-0.12869,-0.77929,1.47909,1344.9175565537832,7,12,1,0,1,478702.4758994618,3617371.6096149646
