X,Y,x,y,Z,Conductivity(mS/m),Log10(Conductivity mS/m),ERT_doi
42.71927,0,460731.5687,4276488.167,-0.46754,6.108153781,0.785909962,0.000388889
73.83314,0,460716.8044,4276460.885,-3.411216667,6.925293603,0.84043819,0.019016667
52.09834,0,460727.1181,4276479.943,-7.53094,2.736880721,0.43725587,0.008016667
9.682453333,0,460747.2454,4276517.134,-8.29748,3.085516858,0.489327924,0.065994444
105.1937333,0,460701.9231,4276433.387,-7.080386667,6.243400336,0.795421183,0.239477778
83.52545333,0,460712.2052,4276452.387,-1.103733333,6.458771305,0.810149907,0.016022222
13.08851667,0,460745.6292,4276514.148,-3.23639,5.345791165,0.728011989,0.0422
25.88201333,0,460739.5584,4276502.93,-2.665193333,5.009716847,0.69981318,0.007416667
98.66140667,0,460705.0228,4276439.115,-4.34044,9.037423156,0.956044618,0.008933333
42.05156667,0,460731.8855,4276488.752,-8.808783333,2.737360573,0.437332008,0.030938889
82.57017667,0,460712.6585,4276453.224,-2.892383333,7.000245639,0.84511328,0.019766667
8.880176667,0,460747.6261,4276517.838,-2.874586667,5.10855344,0.708297941,0.024361111
6.009283333,0,460748.9885,4276520.355,-6.739266667,2.954713229,0.470515337,0.048472222
37.12626667,0,460734.2227,4276493.071,-0.262766667,6.210908156,0.793155107,0.006522222
97.83083667,0,460705.417,4276439.843,-5.917866667,7.618661607,0.881878684,0.030544444
42.52520667,0,460731.6608,4276488.337,-0.597383333,5.323367422,0.726186442,0.008716667
72.88221333,0,460717.2557,4276461.719,-0.223273333,6.818523364,0.833690333,0.000633333
41.62817,0,460732.0864,4276489.123,-9.479286667,2.599952306,0.414965381,0.041788889
25.84374,0,460739.5765,4276502.963,-6.568306667,3.253156367,0.512304939,0.031833333
82.76671,0,460712.5652,4276453.052,-3.07218,7.02230227,0.846479519,0.032877778
102.97262,0,460702.9771,4276435.335,-1.42538,6.868519166,0.836863114,0.035080556
9.46926,0,460747.3466,4276517.321,-9.414006667,2.944813749,0.469057832,0.114511111
105.5432667,0,460701.7572,4276433.081,-7.134723333,6.164284469,0.789882672,0.256244444
5.66883,0,460749.15,4276520.653,-6.870106667,2.927000491,0.466422795,0.038766667
84.23809333,0,460711.867,4276451.762,-8.78568,3.439988692,0.536557015,0.05565
96.77555667,0,460705.9177,4276440.769,-4.266476667,8.176884993,0.912587889,0.012027778
42.87904333,0,460731.4929,4276488.026,-0.109306667,7.460776274,0.872784017,0.027461111
103.17905,0,460702.8791,4276435.154,-1.25649,6.831961419,0.834545405,0.028331111
