x,y,HCP1.0,HCP1.0_inph,PRP1.1,PRP1.1_inph,HCP2.0,HCP2.0_inph,PRP2.1,PRP2.1_inph,HCP4.0,HCP4.0_inph,PRP4.1,PRP4.1_inph,,,,,,,
460758.1115,4276563.252,-3276.7,-67.4,2870.7,50.64,17,2.02,8,-3.33,7.3,-0.3,5.3,-9.13,,,,,,,
460758.1115,4276563.248,-3276.7,-67.43,2869.4,50.66,17.1,2.04,7.8,-3.35,7.2,-0.31,5.3,-9.14,,,,,,,
460758.1106,4276563.245,-3276.7,-67.89,2866.1,50.65,17.1,1.98,7.8,-3.21,7.3,-0.32,5.2,-9.04,,,,,,,
460758.1106,4276563.241,-3276.7,-67.9,2858.7,50.59,16.9,1.96,8.1,-3.11,7.3,-0.31,5.2,-9.11,,,,,,,
460758.1149,4276563.234,-3276.7,-67.87,2852.8,50.48,16.9,1.97,8.1,-3.11,7.4,-0.33,5.2,-9.05,,,,,,,
460758.1201,4276563.227,-3276.7,-66.33,2796,49.44,17,1.98,7.7,-3.11,7.3,-0.36,5.2,-9.05,,,,,,,
460758.1244,4276563.22,-3276.7,-66.2,2795.5,49.47,17.1,1.96,8,-3.12,7.3,-0.31,5.3,-8.99,,,,,,,
460758.1175,4276563.219,-3276.7,-65.41,2766.6,48.92,16.9,1.94,8.1,-3.13,7.4,-0.29,5.3,-9.11,,,,,,,
460758.1105,4276563.218,-3276.7,-64.5,2733,48.32,16.7,1.95,8,-3.15,7.3,-0.36,5.4,-9.09,,,,,,,
460758.1035,4276563.218,-3276.7,-64.43,2735.2,48.44,16.7,1.97,8.3,-3.14,7.2,-0.37,5.2,-9.11,,,,,,,
460758.1035,4276563.219,-3276.7,-64.62,2734.9,48.37,16.7,1.97,8,-3.15,7.3,-0.39,5.4,-9.12,,,,,,,
460758.1044,4276563.221,-3276.7,-63.25,2690.1,47.63,16.7,1.95,8.1,-3.14,7.3,-0.32,5.3,-9.14,,,,,,,
460758.1044,4276563.22,-3276.7,-62.69,2666.5,47.2,16.7,1.96,8.3,-3.15,7.2,-0.32,5.4,-9.07,,,,,,,
460758.1053,4276563.219,-3276.7,-62.57,2656.6,46.97,16.9,1.97,8.1,-3.13,7.2,-0.36,5.4,-9.13,,,,,,,
460757.9911,4276563.182,-3276.7,-63.56,2695.8,47.06,16.7,1.85,8,-3.09,7.4,-0.35,5.4,-9.11,,,,,,,
460757.8777,4276563.143,-3276.7,-63.77,2696.6,46.81,16.7,1.59,8.2,-3,7.3,-0.44,5.4,-9.04,,,,,,,
460757.8976,4276563.114,-3276.7,-63.83,2697,46.72,16.6,1.4,7.9,-3.06,7.3,-0.45,5.4,-9.03,,,,,,,
460757.9166,4276563.085,-3276.7,-63.64,2700,46.7,16.9,1.34,7.6,-3.07,7.3,-0.51,5.5,-9.06,,,,,,,
460757.9166,4276563.08,-3276.7,-63.87,2697.8,46.68,16.4,1.32,7.8,-3.07,7.2,-0.51,5.5,-9.04,,,,,,,
460757.9174,4276563.074,-3276.7,-63.85,2698.9,46.74,16.3,1.35,8,-3.07,7.3,-0.51,5.3,-8.98,,,,,,,
460757.9174,4276563.068,-3276.7,-63.79,2701,46.69,16.3,1.35,7.9,-3.07,7.3,-0.51,5.4,-9.06,,,,,,,
460757.9182,4276563.063,-3276.7,-63.81,2699,46.71,16.3,1.35,8,-3.06,7.2,-0.52,5.2,-9.05,,,,,,,
460757.9191,4276563.057,-3276.7,-63.82,2698.9,46.72,16.1,1.34,8.1,-3.03,7.2,-0.5,5.3,-9.05,,,,,,,
460757.9191,4276563.051,-3276.7,-63.77,2698.8,46.7,16.5,1.37,8.2,-3.02,7.3,-0.5,5.4,-9.06,,,,,,,
460757.919,4276563.045,-3276.7,-64.01,2699.7,46.86,16.5,1.46,8,-3.08,7.3,-0.48,5.4,-9.05,,,,,,,
460757.9199,4276563.04,-3276.7,-77.75,3049.4,52.64,16.5,1.54,8.6,-2.96,7.2,-0.47,5.2,-8.99,,,,,,,
460757.9198,4276563.034,-988.4,-13.91,410.9,6.2,8.6,1.12,12.9,-2.39,6.8,-0.51,5.5,-8.33,,,,,,,
460757.9207,4276563.028,3.1,-0.25,9.9,-1.5,3.1,0.52,9.3,-2.98,6.3,-0.76,5.3,-8.54,,,,,,,
460757.9207,4276563.023,5.4,-0.1,10.4,-1.53,3.2,0.38,8.6,-3.12,6.1,-0.77,5.2,-8.54,,,,,,,
460757.9215,4276563.017,5.8,-0.05,10.6,-1.55,3.1,0.34,8.4,-3.13,6.3,-0.83,5.2,-8.44,,,,,,,
460757.9215,4276563.011,9.2,0.13,9.9,-1.57,3.3,0.38,6.8,-3.38,6,-0.89,5.3,-8.36,,,,,,,
460757.9223,4276563.005,9.1,0.19,10.5,-1.62,4,0.35,6.2,-3.49,6,-0.95,5.4,-8.35,,,,,,,
460757.9197,4276563.005,7.4,0.16,11,-1.61,3.8,0.27,7.5,-3.5,6.1,-1.03,5.2,-8.38,,,,,,,
460757.918,4276563.004,7.3,0.15,11.2,-1.61,3.4,0.32,7.1,-3.44,6.1,-0.98,5.3,-8.33,,,,,,,
460757.9153,4276563.003,7.9,0.16,11.4,-1.64,3.2,0.29,7.1,-3.45,6.2,-0.99,5.4,-8.29,,,,,,,
460757.797,4276562.999,6.7,0.14,11.8,-1.64,2.6,0.27,7.6,-3.44,6.1,-0.94,5.3,-8.35,,,,,,,
460757.6786,4276562.996,6.5,0.14,9.8,-1.61,2.7,0.28,6.7,-3.35,6.1,-0.95,5.2,-8.34,,,,,,,
460757.6698,4276562.989,5,0.18,6.5,-1.51,2.8,0.31,5.5,-3.26,6.1,-0.91,4.9,-8.19,,,,,,,
460757.662,4276562.982,4.7,0.18,6.5,-1.51,2.7,0.34,5.8,-3.24,6,-0.88,4.9,-8.21,,,,,,,
460757.6532,4276562.975,4.9,0.18,6.5,-1.51,2.8,0.35,5.5,-3.25,6,-0.91,4.9,-8.25,,,,,,,
460757.6784,4276562.967,5.4,0.18,7.6,-1.54,3.2,0.35,5.8,-3.31,6,-0.89,4.8,-8.25,,,,,,,
460757.7045,4276562.96,5.2,0.17,7.5,-1.53,3,0.34,5.8,-3.3,6.1,-0.92,5.1,-8.28,,,,,,,
460757.7297,4276562.952,6.8,0.11,12.7,-1.65,3.4,0.29,7.5,-3.37,6.1,-0.92,5.5,-8.4,,,,,,,
460757.754,4276562.934,7.3,0.11,11.3,-1.61,3,0.28,7.4,-3.4,6.2,-0.94,5.2,-8.4,,,,,,,
460757.7791,4276562.916,6.9,0.11,11.3,-1.61,3,0.28,7.2,-3.39,6.2,-0.91,5.1,-8.37,,,,,,,
460757.7827,4276562.926,6.8,0.1,11.2,-1.62,3.5,0.25,7,-3.3,6.1,-0.93,5.4,-8.39,,,,,,,
460757.7862,4276562.936,7.4,0.08,8.8,-1.65,3.8,0.07,5,-3.71,6,-1.06,5,-5.88,,,,,,,
460757.7897,4276562.946,8.5,0.03,1.9,-1.43,1.9,-0.07,1.3,-3.5,6.2,-1.32,3.9,-4.38,,,,,,,
460757.7845,4276562.937,5.8,-0.03,-2,-1.33,-0.8,-0.08,1.1,-3.25,5.6,-0.96,3.4,-4.37,,,,,,,
460757.7792,4276562.928,-5.7,-0.27,-7.2,-1.3,0.2,0.17,4.5,-3.18,5.3,-0.81,3.1,-4.22,,,,,,,
460757.7739,4276562.919,-118.9,-1.63,30.1,-0.15,8.7,1.13,5.7,-3.22,5.6,-0.63,3,-3.84,,,,,,,
460757.8128,4276562.867,-105.1,-0.95,34.3,-0.25,11.5,1.46,4.7,-3.14,5.6,-0.52,2.7,-3.31,,,,,,,
460757.8518,4276562.815,3.2,0.15,0.9,-1.26,7.9,1.01,0.1,-3.19,5.5,-0.65,2.2,-3.2,,,,,,,
460757.6882,4276562.839,7.5,0.05,0.1,-1.32,2.9,0.2,-2.4,-3.22,5.2,-0.79,1.8,-3.46,,,,,,,
460757.5247,4276562.862,7.9,0.02,0.5,-1.31,1.1,-0.05,-1.5,-3.09,5.1,-0.85,2,-4.16,,,,,,,
460757.3612,4276562.886,9.2,-0.08,1.5,-1.29,-1.5,0.02,1.1,-2.8,5.6,-1.09,2.4,-5.39,,,,,,,
460757.0392,4276563.249,9.2,-0.18,1.7,-1.23,1.5,0.53,-0.2,-3.2,5.6,-1.15,2,-6.97,,,,,,,
460756.7181,4276563.613,6.6,-0.14,1.5,-1.24,3.4,0.23,1.4,-3.22,5.6,-1.13,2.2,-7.04,,,,,,,
460756.6997,4276563.578,7.2,-0.16,-0.1,-1.2,3.9,0.05,1.9,-3.05,5.7,-1.05,2.1,-7.01,,,,,,,
460756.6803,4276563.543,9,-0.2,0.5,-1.23,4.6,0.01,1.9,-3.04,5.9,-1.16,2,-7.03,,,,,,,
460756.6619,4276563.508,9.2,-0.21,-0.1,-1.22,4.6,0.04,1.6,-3.01,5.9,-1.18,1.9,-7.05,,,,,,,
460756.09,4276563.502,9.2,-0.21,-0.1,-1.24,4.8,0,1.7,-3.17,5.7,-1.2,1.9,-7.6,,,,,,,
460755.5182,4276563.494,9.2,-0.12,0,-1.27,4.5,0.1,2,-3.5,5.8,-1.11,2.2,-8.81,,,,,,,
460755.6181,4276563.468,10,0.32,-2.8,-1.37,3.7,0.21,1.4,-3.43,5.8,-0.95,3.7,-7.55,,,,,,,
460755.719,4276563.441,12.3,0.39,-4.1,-1.46,3.8,0.23,0.9,-4.07,5.8,-0.96,3.5,-9.78,,,,,,,
460754.9844,4276563.254,14.3,0.33,-6.9,-1.73,2.7,0.11,0.5,-5.49,5.2,-1.07,3.5,-16.26,,,,,,,
460754.2489,4276563.068,10.3,0.18,-7.3,-1.77,1.1,-0.06,2.6,-5.73,5.2,-1.13,4,-17.28,,,,,,,
