x,y,layer1,layer2,layer3,depth1,depth2
460743.36679999996,4276546.9545,4.9722828058831645,6.234656230243319,3.1253826108791323,0.5,1.5
460742.07938,4276544.460899999,5.172607472221821,6.374875623175323,3.1300148994168935,0.5,1.5
460740.79202999995,4276541.9804,5.146623613100444,6.317427058703336,3.2040419398882545,0.5,1.5
460739.50538999995,4276539.504000001,4.8999707496315414,6.284350648048334,3.2900393454845864,0.5,1.5
460738.21929000004,4276537.0317,4.879186644975355,6.299771808399237,3.3931168050324447,0.5,1.5
460737.54089,4276535.7472,4.853321914073611,6.389575562718594,3.3928316337665168,0.5,1.5
460736.86756,4276534.4682,4.588632659281488,6.653050501759285,3.42261336863306,0.5,1.5
460736.19922,4276533.194700001,4.669525174807647,6.793916272381712,3.406273131635756,0.5,1.5
460735.54555000004,4276531.9497,4.666247573465978,6.974819262456107,3.4504516271891816,0.5,1.5
460734.89335,4276530.7199,4.735921047887786,7.022991593437125,3.5681513569414,0.5,1.5
460734.24271,4276529.5055,5.2135262295418805,6.939164007073713,3.6799147016096776,0.5,1.5
460733.80973,4276528.6959,5.413431768038002,7.072145268918934,3.814228797332319,0.5,1.5
460733.37704999995,4276527.877,5.642374269029068,7.360839646116176,3.8959151293540217,0.5,1.5
460732.94419999997,4276527.0578,6.085311250161204,7.80695380829336,4.048931123396937,0.5,1.5
460732.51118000003,4276526.2383,6.714918131815045,8.149001113816347,4.2637084938323335,0.5,1.5
460732.08121,4276525.4223,7.638560824565225,8.461130614262434,4.372101144123544,0.5,1.5
460731.64590999996,4276524.6021,9.184358232949844,8.933232356308702,4.179279540158398,0.5,1.5
460729.94849,4276521.301899999,9.59052801568894,9.287293040823133,4.479067383989673,0.5,1.5
460728.24020999996,4276517.9865,9.979857445294803,9.564114516480382,4.756270296115063,0.5,1.5
460726.53426,4276514.6692,10.169910292424369,9.81087876897596,4.997416490988555,0.5,1.5
460724.83056999993,4276511.3499,10.128011387839612,9.885240450497019,5.308516311153536,0.5,1.5
460723.13213,4276508.0367,10.265731062773662,9.648520730217967,5.551616045475646,0.5,1.5
460721.43457000004,4276504.7246,10.250581775237983,9.444191108181007,5.79714305092401,0.5,1.5
460719.73769999994,4276501.413500001,10.100365635348412,9.102595131969773,5.986606360754043,0.5,1.5
460718.03341,4276498.097999999,9.84788053201605,8.677976915051618,6.120660256541194,0.5,1.5
