HCP1.0,PRP1.1,HCP2.0,PRP2.1,HCP4.0,PRP4.1
12.0,2.7,8.4,4.6,11.2,7.2
12.0,2.7,8.4,4.6,11.2,7.2
12.0,2.7,8.4,4.6,11.2,7.2
12.0,2.7,8.4,4.6,11.2,7.2
12.0,2.7,8.4,4.6,11.2,7.2
12.0,2.7,8.4,4.6,11.2,7.2
12.0,2.7,8.4,4.6,11.2,7.2
11.6,2.9,8.7,4.7,11.4,7.2
11.3,3.0,8.8,4.8,11.4,7.2
11.3,3.0,8.8,4.8,11.4,7.2
11.3,3.0,8.8,4.8,11.4,7.2
11.3,3.0,8.8,4.8,11.4,7.2
11.3,3.0,8.8,4.8,11.4,7.2
11.3,3.0,8.8,4.8,11.4,7.2
11.3,3.0,8.8,4.8,11.4,7.2
11.3,3.0,8.8,4.8,11.4,7.2
11.3,3.0,8.8,4.8,11.4,7.2
11.3,3.0,8.8,4.8,11.4,7.2
11.3,3.0,8.8,4.8,11.4,7.2
11.3,3.0,8.8,4.8,11.4,7.2
11.3,3.0,8.8,4.8,11.4,7.2
11.3,3.0,8.8,4.8,11.4,7.2
11.3,3.0,8.8,4.8,11.4,7.2
11.3,3.0,8.8,4.8,11.4,7.2
11.3,3.0,8.8,4.8,11.4,7.2
11.3,3.0,8.8,4.8,11.4,7.2
11.3,3.0,8.8,4.8,11.4,7.2
11.3,3.0,8.8,4.8,11.4,7.2
11.3,3.0,8.8,4.8,11.4,7.2
11.3,3.0,8.8,4.8,11.4,7.2
11.3,3.0,8.8,4.8,11.4,7.2
11.3,3.0,8.8,4.8,11.4,7.2
11.3,3.0,8.8,4.8,11.4,7.2
11.3,3.0,8.8,4.8,11.4,7.2
11.3,3.0,8.8,4.8,11.4,7.2
11.3,3.0,8.8,4.8,11.4,7.2
11.4,3.0,8.9,4.8,11.5,7.3
11.4,3.0,9.0,4.8,11.5,7.3
11.4,3.0,9.0,4.8,11.5,7.3
11.3,3.2,9.0,4.9,11.3,7.5
11.2,3.3,8.9,4.9,11.2,7.6
11.2,3.3,8.9,4.9,11.2,7.6
11.2,3.3,8.9,4.9,11.2,7.6
11.2,3.3,8.9,4.9,11.2,7.6
11.2,3.3,8.9,4.9,11.2,7.6
11.2,3.3,8.9,4.9,11.2,7.6
11.2,3.3,8.9,4.9,11.2,7.6
11.2,3.3,8.9,4.9,11.2,7.6
11.2,3.3,8.9,4.9,11.2,7.6
11.2,3.3,8.9,4.9,11.2,7.6
11.2,3.3,8.9,4.9,11.2,7.6
11.2,3.3,8.9,4.9,11.2,7.6
11.2,3.3,8.9,4.9,11.2,7.6
11.3,3.6,8.8,4.9,11.3,8.1
11.3,3.6,8.8,4.9,11.3,8.1
11.3,3.6,8.8,4.9,11.3,8.1
11.3,3.6,8.8,4.9,11.3,8.1
11.3,3.6,8.8,4.9,11.3,8.1
11.3,3.6,8.8,4.9,11.3,8.1
11.3,3.6,8.8,4.9,11.3,8.1
11.3,3.6,8.8,4.9,11.3,8.1
11.3,3.6,8.8,4.9,11.3,8.1
11.3,3.6,8.8,4.9,11.3,8.1
11.3,3.6,8.8,4.9,11.3,8.1
11.3,3.6,8.8,4.9,11.3,8.1
11.3,3.6,8.8,4.9,11.3,8.1
11.3,3.6,8.8,4.9,11.3,8.1
11.3,3.6,8.8,4.9,11.3,8.1
11.3,3.6,8.8,4.9,11.3,8.1
11.3,3.6,8.8,4.9,11.3,8.1
11.3,3.6,8.8,4.9,11.3,8.1
11.3,3.6,8.8,4.9,11.3,8.1
11.3,3.6,8.8,4.9,11.3,8.1
11.3,3.6,8.8,4.9,11.3,8.1
11.3,3.6,8.8,4.9,11.3,8.1
11.3,3.6,8.8,4.9,11.3,8.1
11.3,3.6,8.8,4.9,11.3,8.1
11.3,3.6,8.8,4.9,11.3,8.1
11.3,3.6,8.8,4.9,11.3,8.1
11.3,3.6,8.8,4.9,11.3,8.1
11.6,3.3,8.9,4.9,11.8,8.0
11.6,3.3,8.9,4.9,11.8,8.0
11.6,3.3,8.9,4.9,11.8,8.0
11.6,3.3,8.9,4.9,11.8,8.0
11.6,3.3,8.9,4.9,11.8,8.0
11.6,3.3,8.9,4.9,11.8,8.0
11.6,3.3,8.9,4.9,11.8,8.0
11.6,3.3,8.9,4.9,11.8,8.0
11.6,3.3,8.9,4.9,11.8,8.0
11.6,3.3,8.9,4.9,11.8,8.0
11.6,3.3,8.9,4.9,11.8,8.0
11.6,3.3,8.9,4.9,11.8,8.0
11.6,3.3,8.9,4.9,11.8,8.0
11.6,3.3,8.9,4.9,11.8,8.0
11.6,3.3,8.9,4.9,11.8,8.0
11.6,3.3,8.9,4.9,11.8,8.0
11.6,3.3,8.9,4.9,11.8,8.0
11.7,3.3,8.9,5.0,11.9,8.0
11.7,3.3,8.9,5.1,12.1,7.8
11.7,3.3,8.9,5.1,12.1,7.8
11.7,3.3,8.9,5.1,12.1,7.8
11.7,3.3,8.9,5.1,12.1,7.8
11.7,3.3,8.9,5.1,12.1,7.8
11.7,3.3,8.9,5.1,12.1,7.8
11.7,3.3,8.9,5.1,12.1,7.8
11.7,3.3,8.9,5.1,12.1,7.8
11.7,3.3,8.9,5.1,12.1,7.8
11.7,3.3,8.9,5.1,12.1,7.8
11.7,3.3,8.9,5.1,12.1,7.8
11.7,3.3,8.9,5.1,12.1,7.8
11.7,3.3,8.9,5.1,12.1,7.8
11.7,3.3,8.9,5.1,12.1,7.8
11.7,3.3,8.9,5.1,12.1,7.8
11.7,3.3,8.9,5.1,12.1,7.8
11.7,3.3,8.9,5.1,12.1,7.8
11.7,3.3,8.9,5.1,12.1,7.8
11.7,3.3,8.9,5.1,12.1,7.8
11.7,3.3,8.9,5.1,12.1,7.8
11.7,3.3,8.9,5.1,12.1,7.8
11.8,3.3,8.9,5.1,12.2,7.9
12.2,3.4,8.9,5.2,12.4,8.0
12.2,3.4,8.9,5.2,12.4,8.0
12.2,3.4,8.9,5.2,12.4,8.0
12.1,3.5,9.0,5.2,12.3,8.0
12.0,3.5,9.3,5.3,12.1,8.0
12.0,3.5,9.3,5.3,12.1,8.0
12.0,3.5,9.3,5.3,12.1,8.0
12.0,3.5,9.3,5.3,12.1,8.0
12.0,3.5,9.3,5.3,12.1,8.0
12.0,3.5,9.3,5.3,12.1,8.0
12.0,3.5,9.3,5.3,12.1,8.0
12.0,3.5,9.3,5.3,12.1,8.0
12.0,3.5,9.3,5.3,12.1,8.0
12.0,3.5,9.3,5.3,12.1,8.0
12.0,3.5,9.3,5.3,12.1,8.0
12.0,3.5,9.3,5.3,12.1,8.0
12.0,3.5,9.3,5.3,12.1,8.0
12.0,3.5,9.3,5.3,12.1,8.0
12.0,3.5,9.3,5.3,12.1,8.0
12.4,3.5,9.5,5.3,12.4,8.1
12.5,3.5,9.5,5.3,12.4,8.1
12.1,3.7,9.8,5.4,12.1,8.2
12.1,3.7,9.8,5.4,12.1,8.2
12.1,3.7,9.8,5.4,12.1,8.2
12.1,3.7,9.8,5.4,12.1,8.2
12.1,3.7,9.8,5.4,12.1,8.2
12.1,3.7,9.8,5.4,12.1,8.2
12.1,3.7,9.8,5.4,12.1,8.2
12.1,3.7,9.8,5.4,12.1,8.2
12.1,3.7,9.8,5.4,12.1,8.2
12.1,3.7,9.8,5.4,12.1,8.2
12.1,3.7,9.8,5.4,12.1,8.2
12.1,3.7,9.8,5.4,12.1,8.2
12.1,3.7,9.8,5.4,12.1,8.2
12.1,3.7,9.8,5.4,12.1,8.2
12.1,3.7,9.8,5.4,12.1,8.2
12.1,3.7,9.8,5.4,12.1,8.2
12.1,3.7,9.8,5.4,12.1,8.2
12.1,3.7,9.8,5.4,12.1,8.2
12.1,3.7,9.8,5.4,12.1,8.2
12.1,3.7,9.8,5.4,12.1,8.2
12.7,3.7,10.1,5.7,12.4,8.7
12.8,3.6,10.1,5.7,12.5,8.7
12.8,3.6,10.1,5.7,12.5,8.7
12.8,3.6,10.1,5.7,12.5,8.7
12.8,3.6,10.1,5.7,12.5,8.7
12.8,3.6,10.1,5.7,12.5,8.7
12.8,3.6,10.1,5.7,12.5,8.7
12.8,3.6,10.1,5.7,12.5,8.7
12.8,3.6,10.1,5.7,12.5,8.7
12.8,3.6,10.1,5.7,12.5,8.7
12.8,3.6,10.1,5.7,12.5,8.7
12.8,3.6,10.1,5.7,12.5,8.7
12.8,3.6,10.1,5.7,12.5,8.7
12.8,3.6,10.1,5.7,12.5,8.7
12.8,3.6,10.1,5.7,12.5,8.7
12.8,3.6,10.1,5.7,12.5,8.7
12.8,3.6,10.1,5.7,12.5,8.7
12.8,3.6,10.1,5.7,12.5,8.7
13.0,3.7,10.2,5.8,12.6,8.8
13.8,3.8,10.5,6.1,12.8,9.1
13.8,3.8,10.5,6.1,12.8,9.1
13.8,3.8,10.5,6.1,12.8,9.1
13.8,3.8,10.5,6.1,12.8,9.1
13.8,3.8,10.5,6.1,12.8,9.1
13.8,3.8,10.5,6.1,12.8,9.1
