Unnamed: 0,El-array,xA (m),xB (m),xM (m),xN (m),Rho (Ohm.m),Dev. Rho (%),SP (mV),VMN (mV),IAB (mA),Time (ms),Coef. k (m),Rs-Check,Vab (V),Channel,Tx-Bat (V),Tx Temp. (°C),Rx-Bat (V),Rx Temp. (°C),Y Average tab raw 0,Y Average tab raw 10,Y Average tab raw 20,Y Average tab raw 30,Y Average tab raw 40,Y Average tab raw 50,Y Average tab raw 60,Y Average tab raw 70,Y Average tab raw 80,Y Average tab raw 90,Y Average tab raw 100,Y Average tab raw 110,Y Average tab raw 120,Y Average tab raw 130,Y Average tab raw 140,Y Average tab raw 150,Y Average tab raw 160,Y Average tab raw 170,Y Average tab raw 180,Y Average tab raw 190,Y Average tab raw 200,Y Average tab raw 210,Y Average tab raw 220,Y Average tab raw 230,Y Average tab raw 240,recip error (%)
,Mixed / non conventional,1.0,5.0,3.0,4.0,2.9,0.0,-52.91,404.075,1311.437,250,9.42,0.0,50,1,12.29,31.0,16.31,39.5,-391.68,-330.576,-183.173,25.52,221.692,351.225,409.647,422.915,418.602,412.279,408.524,406.823,405.883,405.103,404.448,404.004,403.776,403.706,403.714,403.739,403.753,403.759,403.765,403.768,403.267,0.0
,Mixed / non conventional,1.0,5.0,4.0,2.0,2.84,0.0,-32.74,-789.847,1311.437,250,-4.71,0.0,50,2,12.29,31.0,16.31,39.5,-765.5,-645.984,-357.711,50.372,433.919,687.118,801.25,827.092,818.582,806.171,798.791,795.419,793.526,791.953,790.638,789.743,789.269,789.099,789.091,789.135,789.166,789.168,789.153,789.13,788.132,0.0
,Mixed / non conventional,1.0,5.0,2.0,6.0,3.03,0.0,-65.46,928.403,1311.437,250,4.28,0.0,50,3,12.29,31.0,16.31,39.5,-899.713,-759.185,-420.273,59.455,510.301,807.89,941.991,972.308,962.253,947.628,938.938,934.973,932.743,930.885,929.335,928.283,927.726,927.523,927.506,927.548,927.576,927.577,927.562,927.534,926.351,0.0
,Mixed / non conventional,1.0,5.0,6.0,10.0,2.97,0.0,117.84,-440.146,1311.437,250,-8.84,0.0,50,4,12.29,31.0,16.31,39.5,-426.577,-360.034,-199.464,27.921,241.695,382.856,446.508,460.938,456.204,449.286,445.167,443.281,442.217,441.331,440.592,440.088,439.821,439.723,439.715,439.738,439.757,439.762,439.755,439.739,439.179,-0.3372681281618965
,Mixed / non conventional,1.0,5.0,10.0,4.0,2.5,0.02,-20.93,301.317,1310.357,250,10.87,0.0,50,1,12.25,31.0,16.31,39.5,-292.031,-246.568,-136.729,18.952,165.434,262.259,305.994,315.965,312.752,307.97,305.034,303.605,302.772,302.105,301.562,301.189,300.977,300.881,300.845,300.831,300.821,300.81,300.801,300.793,300.416,0.0
,Mixed / non conventional,1.0,5.0,4.0,16.0,2.73,0.02,197.07,-365.845,1310.357,250,-9.78,0.0,50,2,12.25,31.0,16.31,39.5,-354.568,-299.391,-166.045,22.99,200.875,318.462,371.573,383.679,379.774,373.968,370.401,368.653,367.625,366.806,366.148,365.699,365.444,365.317,365.26,365.236,365.227,365.223,365.218,365.208,364.749,0.0
,Mixed / non conventional,1.0,5.0,7.0,3.0,3.97,0.02,32.97,-275.895,1310.357,250,-18.85,0.0,50,4,12.25,31.0,16.31,39.5,-267.392,-225.634,-124.898,17.709,151.744,240.24,280.155,289.225,286.275,281.91,279.234,277.928,277.171,276.575,276.097,275.77,275.588,275.505,275.474,275.468,275.472,275.478,275.479,275.471,275.12,0.0
,Mixed / non conventional,1.0,5.0,3.0,11.0,5.99,0.02,-32.48,83.241,1310.357,250,94.25,0.0,50,5,12.25,31.0,16.31,39.5,-80.721,-68.175,-37.851,5.131,45.576,72.316,84.404,87.171,86.295,84.988,84.195,83.819,83.603,83.43,83.289,83.191,83.139,83.12,83.121,83.128,83.133,83.132,83.127,83.123,83.024,0.1668056713928238
,Mixed / non conventional,1.0,5.0,7.0,10.0,3.4,0.01,1.48,-173.031,1306.98,250,-25.7,0.0,50,1,12.21,31.0,16.31,39.4,-167.511,-141.296,-78.108,11.315,95.369,150.901,175.993,181.737,179.917,177.182,175.486,174.626,174.091,173.656,173.31,173.08,172.949,172.882,172.845,172.827,172.824,172.829,172.832,172.826,172.6,0.0
,Mixed / non conventional,1.0,5.0,9.0,13.0,4.18,0.01,73.14,-72.443,1306.98,250,-75.4,0.0,50,3,12.21,31.0,16.31,39.4,-70.043,-58.812,-32.047,5.504,40.551,63.541,73.829,76.118,75.32,74.178,73.478,73.125,72.905,72.725,72.575,72.466,72.401,72.368,72.354,72.35,72.348,72.345,72.344,72.345,72.251,0.0
,Mixed / non conventional,2.0,6.0,7.0,1.0,3.23,0.13,192.59,-1095.395,1330.266,250,-3.93,0.0,50,1,12.15,31.0,16.31,39.3,-1060.457,-895.255,-496.145,69.624,602.346,955.149,1115.313,1152.679,1141.811,1124.88,1114.235,1108.515,1104.439,1100.693,1097.432,1095.03,1093.519,1092.666,1092.189,1091.9,1091.707,1091.574,1091.487,1091.437,1090.073,0.0
,Mixed / non conventional,2.0,6.0,1.0,8.0,3.31,0.16,-103.05,794.02,1330.266,250,5.54,0.0,50,2,12.15,31.0,16.31,39.3,-768.712,-648.777,-359.253,50.949,437.015,692.564,808.482,835.449,827.516,815.221,807.493,803.338,800.372,797.639,795.257,793.499,792.39,791.756,791.393,791.166,791.016,790.915,790.85,790.81,789.812,0.0
,Mixed / non conventional,2.0,6.0,8.0,4.0,3.76,0.03,-110.49,-265.111,1330.266,250,-18.85,0.0,50,3,12.15,31.0,16.31,39.3,-256.396,-216.257,-119.414,17.709,146.677,231.967,270.587,279.506,276.789,272.637,270.025,268.62,267.621,266.701,265.891,265.288,264.907,264.692,264.57,264.492,264.439,264.402,264.378,264.363,264.028,0.0
,Mixed / non conventional,2.0,6.0,4.0,5.0,2.93,0.26,37.09,413.134,1330.266,250,9.42,0.0,50,4,12.15,31.0,16.31,39.3,-400.38,-338.118,-187.64,25.749,226.719,359.825,420.238,434.305,430.173,423.76,419.723,417.547,415.996,414.574,413.34,412.429,411.854,411.528,411.347,411.239,411.168,411.125,411.102,411.089,410.579,0.0
,Mixed / non conventional,2.0,6.0,5.0,3.0,2.94,0.15,14.19,-829.972,1330.266,250,-4.71,0.0,50,5,12.15,31.0,16.31,39.3,-803.795,-678.729,-376.46,52.155,455.824,723.212,844.629,872.976,864.76,851.946,843.901,839.599,836.546,833.739,831.296,829.501,828.38,827.757,827.42,827.222,827.096,827.01,826.955,826.925,825.902,0.0
,Mixed / non conventional,2.0,6.0,3.0,7.0,3.17,0.01,-32.21,983.529,1331.211,250,4.28,0.0,50,1,12.12,31.0,16.31,39.4,-949.831,-801.897,-444.316,62.893,540.889,857.978,1002.539,1036.915,1027.802,1013.017,1003.706,998.672,994.912,991.18,987.63,984.706,982.579,981.143,980.193,979.558,979.139,978.875,978.71,978.601,977.339,0.0
,Mixed / non conventional,2.0,6.0,7.0,11.0,3.17,0.01,0.23,-477.894,1331.211,250,-8.84,0.0,50,2,12.12,31.0,16.31,39.4,-461.491,-389.665,-215.985,30.442,262.732,416.86,487.147,503.874,499.452,492.262,487.73,485.281,483.454,481.64,479.914,478.489,477.446,476.735,476.261,475.945,475.735,475.599,475.513,475.457,474.846,0.0
,Mixed / non conventional,2.0,6.0,11.0,5.0,2.65,0.02,-13.49,324.269,1331.211,250,10.87,0.0,50,3,12.12,31.0,16.31,39.4,-313.107,-264.387,-146.55,20.684,178.355,282.987,330.7,342.041,339.013,334.104,331.001,329.313,328.049,326.798,325.608,324.621,323.891,323.389,323.056,322.833,322.678,322.57,322.498,322.449,322.023,0.0
,Mixed / non conventional,2.0,6.0,5.0,17.0,2.88,0.02,148.42,-391.779,1331.211,250,-9.78,0.0,50,4,12.12,31.0,16.31,39.4,-378.311,-319.52,-177.224,24.823,215.383,341.877,399.572,413.285,409.619,403.679,399.927,397.886,396.355,394.838,393.399,392.213,391.34,390.74,390.331,390.05,389.859,389.734,389.653,389.596,389.087,0.0
,Mixed / non conventional,2.0,6.0,10.0,14.0,4.38,0.01,179.77,-77.303,1331.211,250,-75.4,0.0,50,6,12.12,31.0,16.31,39.4,-74.608,-62.982,-34.866,5.025,42.621,67.555,78.915,81.606,80.875,79.698,78.951,78.539,78.227,77.923,77.642,77.413,77.243,77.123,77.037,76.977,76.934,76.903,76.882,76.868,76.766,0.0
,Mixed / non conventional,2.0,6.0,4.0,12.0,4.79,0.01,318.22,67.675,1331.211,250,94.25,0.0,50,8,12.12,31.0,16.31,39.4,-65.328,-55.117,-30.451,4.521,37.454,59.27,69.184,71.506,70.838,69.786,69.118,68.754,68.485,68.223,67.974,67.762,67.605,67.501,67.435,67.392,67.362,67.34,67.324,67.313,67.228,0.0
,Mixed / non conventional,2.0,6.0,8.0,11.0,3.41,0.01,-90.13,-176.404,1330.934,250,-25.7,0.0,50,1,12.08,31.0,16.31,39.3,-170.147,-143.488,-79.192,11.834,97.462,154.156,179.937,186.036,184.401,181.776,180.136,179.257,178.597,177.926,177.267,176.699,176.263,175.952,175.738,175.593,175.503,175.451,175.421,175.399,175.16,-0.29368575624082904
,Mixed / non conventional,2.0,6.0,8.0,12.0,3.5,0.02,208.18,-197.443,1330.644,250,-23.56,0.0,50,1,12.06,30.0,16.31,39.3,-190.365,-160.487,-88.504,13.329,109.072,172.434,201.24,208.064,206.261,203.352,201.53,200.55,199.819,199.089,198.377,197.758,197.272,196.918,196.675,196.514,196.408,196.335,196.284,196.247,195.978,-0.28612303290414265
,Mixed / non conventional,3.0,7.0,9.0,13.0,4.38,0.02,73.17,-257.303,1383.604,250,-23.56,0.0,50,1,12.01,31.0,16.31,39.3,-249.392,-210.35,-116.299,16.631,141.295,223.291,259.94,267.948,264.999,261.029,258.874,258.1,257.805,257.566,257.34,257.18,257.102,257.081,257.083,257.084,257.075,257.06,257.046,257.036,256.712,0.0
,Mixed / non conventional,3.0,7.0,8.0,2.0,3.62,0.01,258.86,-1271.903,1379.655,250,-3.93,0.0,50,1,11.99,31.0,16.31,39.3,-1233.312,-1040.768,-576.227,81.306,698.961,1106.125,1288.823,1329.158,1314.52,1294.337,1282.974,1278.473,1276.43,1274.764,1273.292,1272.292,1271.808,1271.659,1271.639,1271.63,1271.608,1271.579,1271.552,1271.531,1269.959,0.0
,Mixed / non conventional,3.0,7.0,2.0,9.0,3.66,0.02,-364.34,910.579,1379.655,250,5.54,0.0,50,2,11.99,31.0,16.31,39.3,-882.89,-744.872,-412.12,58.635,500.663,791.945,922.593,951.414,940.943,926.528,918.427,915.23,913.783,912.601,911.556,910.849,910.509,910.404,910.388,910.386,910.376,910.361,910.344,910.328,909.192,-0.27359781121751653
,Mixed / non conventional,3.0,7.0,9.0,1.0,4.46,0.01,237.83,-653.451,1379.655,250,-9.42,0.0,50,3,11.99,31.0,16.31,39.3,-633.597,-534.501,-295.645,42.2,359.377,568.362,662.095,682.781,675.274,664.926,659.103,656.803,655.766,654.919,654.165,653.65,653.401,653.327,653.326,653.335,653.332,653.321,653.309,653.302,652.494,0.0
,Mixed / non conventional,3.0,7.0,1.0,10.0,4.59,0.01,-222.3,528.252,1379.655,250,12.0,0.0,50,4,11.99,31.0,16.31,39.3,-512.157,-432.038,-238.93,34.203,290.616,459.552,535.306,552.004,545.917,537.541,532.825,530.957,530.116,529.438,528.839,528.428,528.223,528.154,528.14,528.136,528.129,528.122,528.114,528.105,527.441,0.0
,Mixed / non conventional,3.0,7.0,9.0,5.0,4.96,0.01,-18.25,-362.524,1379.043,250,-18.85,0.0,50,1,11.96,30.0,16.31,39.3,-351.48,-296.672,-164.324,23.044,199.064,315.125,367.258,378.844,374.741,369.0,365.716,364.359,363.704,363.175,362.727,362.43,362.288,362.247,362.249,362.26,362.268,362.272,362.272,362.271,361.834,0.0
,Mixed / non conventional,3.0,7.0,5.0,6.0,3.23,0.01,-17.02,472.692,1379.043,250,9.42,0.0,50,2,11.96,30.0,16.31,39.3,-458.268,-386.845,-214.303,30.05,259.652,411.055,479.046,494.116,488.707,481.172,476.866,475.097,474.249,473.56,472.962,472.559,472.361,472.298,472.288,472.288,472.283,472.275,472.268,472.261,471.684,0.0
,Mixed / non conventional,3.0,7.0,6.0,4.0,3.03,0.01,29.13,-885.767,1379.043,250,-4.71,0.0,50,3,11.96,30.0,16.31,39.3,-858.681,-724.733,-401.239,56.774,487.024,770.65,897.962,926.136,915.96,901.811,893.717,890.373,888.756,887.444,886.314,885.555,885.183,885.056,885.028,885.017,885.005,884.995,884.988,884.983,883.899,0.0
,Mixed / non conventional,3.0,7.0,4.0,8.0,3.53,0.01,109.9,1136.76,1379.043,250,4.28,0.0,50,4,11.96,30.0,16.31,39.3,-1102.037,-930.366,-515.527,72.091,624.32,988.527,1152.131,1188.438,1175.457,1157.326,1146.941,1142.649,1140.585,1138.92,1137.488,1136.521,1136.045,1135.888,1135.861,1135.853,1135.834,1135.808,1135.788,1135.777,1134.395,0.0
,Mixed / non conventional,3.0,7.0,8.0,12.0,3.79,0.01,208.37,-591.017,1379.043,250,-8.84,0.0,50,5,11.96,30.0,16.31,39.3,-573.005,-483.85,-268.305,37.135,324.286,513.747,598.913,617.86,611.146,601.73,596.325,594.083,593.0,592.129,591.386,590.887,590.643,590.563,590.548,590.546,590.543,590.537,590.529,590.52,589.8,-0.2642007926023839
,Mixed / non conventional,3.0,7.0,12.0,6.0,2.68,0.01,-353.5,339.547,1377.175,250,10.87,0.0,50,1,11.95,30.0,16.31,39.3,-329.176,-277.928,-154.045,21.502,186.533,295.412,344.355,355.258,351.409,345.977,342.817,341.458,340.77,340.216,339.748,339.44,339.297,339.254,339.25,339.252,339.25,339.242,339.229,339.215,338.795,0.0
,Mixed / non conventional,3.0,7.0,6.0,18.0,2.99,0.01,-98.62,-421.52,1377.175,250,-9.78,0.0,50,2,11.95,30.0,16.31,39.3,-408.661,-345.095,-191.373,26.525,231.421,366.639,427.45,441.018,436.255,429.514,425.591,423.905,423.05,422.364,421.788,421.407,421.225,421.169,421.162,421.159,421.151,421.141,421.132,421.126,420.615,0.0
,Mixed / non conventional,3.0,7.0,11.0,15.0,5.25,0.01,185.83,-95.949,1377.175,250,-75.4,0.0,50,4,11.95,30.0,16.31,39.3,-93.029,-78.584,-43.624,5.951,52.589,83.383,97.247,100.354,99.284,97.765,96.885,96.504,96.306,96.147,96.017,95.933,95.893,95.879,95.874,95.869,95.865,95.859,95.852,95.848,95.734,0.0
,Mixed / non conventional,3.0,7.0,5.0,13.0,7.25,0.01,92.19,105.951,1377.175,250,94.25,0.0,50,6,11.95,30.0,16.31,39.3,-102.748,-86.806,-48.229,6.482,57.962,91.969,107.297,110.75,109.586,107.914,106.943,106.53,106.325,106.161,106.022,105.929,105.885,105.872,105.873,105.873,105.871,105.871,105.875,105.88,105.757,-0.13802622498274378
,Mixed / non conventional,3.0,7.0,13.0,1.0,4.52,0.0,161.22,-396.084,1377.175,250,-15.71,0.0,50,7,11.95,30.0,16.31,39.3,-383.963,-324.066,-179.458,25.279,217.634,344.487,401.507,414.228,409.777,403.478,399.813,398.243,397.462,396.849,396.342,396.005,395.837,395.779,395.766,395.764,395.764,395.763,395.761,395.759,395.275,0.0
,Mixed / non conventional,3.0,7.0,1.0,15.0,4.45,0.01,-32.72,365.721,1376.117,250,16.76,0.0,50,1,11.94,31.0,16.31,39.3,-354.479,-299.019,-165.267,23.909,201.49,318.522,371.108,382.858,378.774,372.95,369.511,367.98,367.176,366.539,366.011,365.654,365.471,365.408,365.4,365.402,365.401,365.4,365.404,365.413,364.971,0.0
,Mixed / non conventional,3.0,7.0,9.0,12.0,4.28,0.01,313.09,-229.405,1376.117,250,-25.7,0.0,50,3,11.94,31.0,16.31,39.3,-222.398,-187.703,-103.924,14.678,126.094,199.578,232.641,240.07,237.547,233.917,231.772,230.818,230.315,229.91,229.572,229.344,229.233,229.203,229.21,229.221,229.223,229.218,229.214,229.217,228.945,0.0
,Mixed / non conventional,4.0,8.0,9.0,3.0,3.55,0.09,277.78,-1126.244,1246.885,250,-3.93,0.0,50,1,11.96,30.0,16.31,39.3,-1090.138,-920.428,-510.845,69.642,615.807,976.692,1139.612,1176.882,1165.442,1148.716,1139.278,1135.387,1133.193,1130.926,1128.519,1126.431,1124.924,1123.918,1123.237,1122.807,1122.599,1122.508,1122.368,1122.077,1120.307,-0.2820874471085977
,Mixed / non conventional,4.0,8.0,3.0,10.0,3.7,0.11,-260.13,832.243,1246.885,250,5.54,0.0,50,2,11.96,30.0,16.31,39.3,-805.599,-680.034,-377.175,51.872,455.398,721.921,842.163,869.609,861.109,848.724,841.728,838.833,837.199,835.516,833.736,832.194,831.08,830.336,829.83,829.504,829.342,829.266,829.156,828.938,827.625,0.0
,Mixed / non conventional,4.0,8.0,10.0,2.0,4.55,0.02,340.21,-601.331,1246.885,250,-9.42,0.0,50,3,11.96,30.0,16.31,39.3,-581.66,-490.858,-271.898,38.218,329.825,522.374,609.195,628.966,622.784,613.819,608.764,606.673,605.49,604.27,602.978,601.854,601.034,600.483,600.107,599.867,599.745,599.686,599.604,599.445,598.488,-0.22002200220021534
,Mixed / non conventional,4.0,8.0,2.0,11.0,4.67,0.02,-341.5,485.62,1246.885,250,12.0,0.0,50,4,11.96,30.0,16.31,39.3,-469.765,-396.454,-219.655,30.759,266.239,421.75,491.898,507.902,502.934,495.704,491.623,489.935,488.978,487.989,486.945,486.041,485.386,484.945,484.643,484.448,484.349,484.3,484.232,484.105,483.339,0.0
,Mixed / non conventional,4.0,8.0,11.0,1.0,5.27,0.02,219.4,-398.556,1246.885,250,-16.49,0.0,50,5,11.96,30.0,16.31,39.3,-385.541,-325.357,-180.236,25.292,218.547,346.159,403.714,416.841,412.763,406.828,403.475,402.086,401.299,400.489,399.633,398.895,398.364,398.008,397.766,397.611,397.53,397.484,397.422,397.312,396.68,0.0
