x,y,PRP1.1,PRP1.1_inph,PRP2.1,PRP2.1_inph,HCP1.0,HCP1.0_inph,PRP4.1,PRP4.1_inph,HCP2.0,HCP2.0_inph,HCP4.0,HCP4.0_inph
448580.6485928705,4177544.571273694,451.8948536095785,-1.27,572.53563361732,-2.8,570.2912078382948,0.62,510.5901883643887,1.01,532.7120763359143,4.46,489.6576749253748,26.98
448580.87489364936,4177544.126050552,404.1898697124996,-1.26,574.5317539444831,-2.32,578.5216861053358,0.63,507.7392337393105,2.73,555.1875526137112,4.69,401.70205326959547,26.72
448580.94454594987,4177543.992472623,407.8771928685197,-1.27,577.4020474779701,-2.33,581.2237615959871,0.63,508.68915814630276,2.81,555.5384152678952,4.67,399.4970121955796,26.8
448580.9707001562,4177543.947928334,410.06253613193815,-1.27,579.1496855693944,-2.35,582.4402682176012,0.63,509.6394762554757,2.66,556.5914463763712,4.68,397.9285052955843,26.83
448581.2805138761,4177544.178997804,380.8497642738581,-1.32,523.1656072710297,-2.74,550.1220271711351,0.58,499.07241448835157,0.84,521.8459132179461,4.38,455.2779407314567,26.42
448581.3911495199,4177544.966074292,416.20986273788907,-1.31,536.5660871697771,-2.86,562.48069035575,0.59,488.28479271786347,0.0,486.81279362004193,4.34,486.97418521456177,26.68
448581.4416349773,4177545.9976224657,428.2357717057201,-1.31,559.8220377542575,-2.82,582.8458493899282,0.6,460.60561562977284,-0.74,476.91775632540015,4.29,444.73390603549313,26.0
448581.54539736366,4177547.095410238,490.64651314459,-1.29,608.7925521380743,-2.7,622.5107359345201,0.62,462.8661939510913,-0.87,483.2838073365203,4.3,369.9906223176301,25.11
448581.5868649431,4177548.093728744,589.5124473321531,-1.26,655.9198858250053,-2.56,637.2753707231838,0.65,471.66381778655233,-0.64,450.7189776035851,4.34,287.4348394802546,24.18
448581.6016248704,4177549.047832582,623.7954100289496,-1.24,660.7108413933265,-2.44,637.0014917282188,0.65,470.46214562659003,0.17,412.06714353519027,4.25,232.5499005755849,23.5
448581.5026810143,4177550.135789026,612.5002298844156,-1.24,662.7289352220146,-2.38,643.3050928201111,0.68,464.33011419742223,0.47,388.989621602334,4.25,206.71114699831517,23.04
448581.570510321,4177551.122847858,582.7715554227565,-1.25,658.5671682819125,-2.41,626.7435519116899,0.66,460.87144991679935,0.6,400.72295484245996,4.25,190.35735860313994,22.7
448581.6998733697,4177552.087332397,535.7737707067167,-1.29,633.1387168634533,-2.61,604.2621478861981,0.64,465.3953730123317,0.57,425.4367706725319,4.29,198.35658737122503,22.97
448581.9437011323,4177553.040007901,487.9058744014554,-1.34,603.2809661634907,-2.91,585.009615507171,0.63,483.8496638193542,0.27,461.11326080352706,4.31,241.35835452701465,23.7
448582.34680606064,4177554.1026432654,463.52762624378175,-1.33,582.1465223226834,-2.93,579.737402814995,0.66,495.02109949985345,0.58,489.50676921691445,4.41,316.3883259648113,24.71
