,El-array,xA (m),xB (m),xM (m),xN (m),Rho (Ohm.m),Dev. Rho (%),VMN (mV),IAB (mA),Coef. k (m),Stack,Name,Date,Gapfiller
,Mixed / non conventional,-6.00,-12.00,-9.00,-10.50,1.32,0.00,218.537,2338.847,14.14,0,,1/28/2024 5:24:51 PM,0
,Mixed / non conventional,-6.00,-12.00,-10.50,-7.50,0.95,0.00,-315.312,2338.847,-7.07,0,,1/28/2024 5:24:51 PM,0
,Mixed / non conventional,-6.00,-12.00,-7.50,-13.50,0.71,0.00,257.499,2338.847,6.43,0,,1/28/2024 5:24:51 PM,0
,Mixed / non conventional,-6.00,-12.00,-13.50,-4.50,0.81,0.00,-320.644,2338.847,-5.89,0,,1/28/2024 5:24:51 PM,0
,Mixed / non conventional,-6.00,-12.00,-4.50,-15.00,0.89,0.00,249.900,2338.847,8.32,0,,1/28/2024 5:24:51 PM,0
,Mixed / non conventional,-6.00,-12.00,-15.00,-3.00,1.10,0.00,-181.552,2338.847,-14.14,0,,1/28/2024 5:24:51 PM,0
,Mixed / non conventional,-6.00,-12.00,-3.00,-16.50,1.15,0.00,149.089,2338.847,17.99,0,,1/28/2024 5:24:51 PM,0
,Mixed / non conventional,-6.00,-12.00,-16.50,-1.50,1.20,0.00,-113.532,2338.847,-24.74,0,,1/28/2024 5:24:51 PM,0
,Mixed / non conventional,-6.00,-12.00,-1.50,-18.00,1.22,0.00,95.586,2338.847,29.87,0,,1/28/2024 5:24:51 PM,0
,Mixed / non conventional,-6.00,-12.00,-18.00,0.00,1.24,0.00,-77.083,2338.847,-37.70,0,,1/28/2024 5:24:51 PM,0
,Mixed / non conventional,-5.00,-11.00,-8.00,-9.50,0.91,0.00,151.644,2356.308,14.14,0,,1/28/2024 5:24:54 PM,0
,Mixed / non conventional,-5.00,-11.00,-9.50,-6.50,0.74,0.00,-247.889,2356.308,-7.07,0,,1/28/2024 5:24:54 PM,0
,Mixed / non conventional,-5.00,-11.00,-6.50,-12.50,0.70,0.00,256.235,2356.308,6.43,0,,1/28/2024 5:24:54 PM,0
,Mixed / non conventional,-5.00,-11.00,-12.50,-3.50,0.80,0.00,-319.041,2356.308,-5.89,0,,1/28/2024 5:24:54 PM,0
,Mixed / non conventional,-5.00,-11.00,-3.50,-14.00,0.88,0.00,248.059,2356.308,8.32,0,,1/28/2024 5:24:54 PM,0
,Mixed / non conventional,-5.00,-11.00,-14.00,-2.00,1.08,0.00,-179.853,2356.308,-14.14,0,,1/28/2024 5:24:54 PM,0
,Mixed / non conventional,-5.00,-11.00,-2.00,-15.50,1.12,0.00,147.253,2356.308,17.99,0,,1/28/2024 5:24:54 PM,0
,Mixed / non conventional,-5.00,-11.00,-15.50,-0.50,1.19,0.00,-113.212,2356.308,-24.74,0,,1/28/2024 5:24:54 PM,0
,Mixed / non conventional,-5.00,-11.00,-0.50,-17.00,1.21,0.00,95.300,2356.308,29.87,0,,1/28/2024 5:24:54 PM,0
,Mixed / non conventional,-5.00,-11.00,-17.00,1.00,1.25,0.00,-78.342,2356.308,-37.70,0,,1/28/2024 5:24:54 PM,0
,Mixed / non conventional,-4.00,-10.00,-7.00,-8.50,0.79,0.00,133.271,2370.420,14.14,0,,1/28/2024 5:24:56 PM,0
,Mixed / non conventional,-4.00,-10.00,-8.50,-5.50,0.65,0.00,-217.526,2370.420,-7.07,0,,1/28/2024 5:24:56 PM,0
,Mixed / non conventional,-4.00,-10.00,-5.50,-11.50,0.64,0.00,237.717,2370.420,6.43,0,,1/28/2024 5:24:56 PM,0
,Mixed / non conventional,-4.00,-10.00,-11.50,-2.50,0.75,0.00,-302.489,2370.420,-5.89,0,,1/28/2024 5:24:56 PM,0
,Mixed / non conventional,-4.00,-10.00,-2.50,-13.00,0.82,0.00,234.012,2370.420,8.32,0,,1/28/2024 5:24:56 PM,0
,Mixed / non conventional,-4.00,-10.00,-13.00,-1.00,1.02,0.00,-170.547,2370.420,-14.14,0,,1/28/2024 5:24:56 PM,0
,Mixed / non conventional,-4.00,-10.00,-1.00,-14.50,1.06,0.00,139.382,2370.420,17.99,0,,1/28/2024 5:24:56 PM,0
,Mixed / non conventional,-4.00,-10.00,-14.50,0.50,1.13,0.00,-107.942,2370.420,-24.74,0,,1/28/2024 5:24:56 PM,0
,Mixed / non conventional,-4.00,-10.00,0.50,-16.00,1.15,0.00,91.633,2370.420,29.87,0,,1/28/2024 5:24:56 PM,0
,Mixed / non conventional,-4.00,-10.00,-16.00,2.00,1.20,0.00,-75.557,2370.420,-37.70,0,,1/28/2024 5:24:56 PM,0
,Mixed / non conventional,-3.00,-9.00,-6.00,-7.50,0.78,0.00,127.272,2314.648,14.14,0,,1/28/2024 5:24:59 PM,0
,Mixed / non conventional,-3.00,-9.00,-7.50,-4.50,0.65,0.00,-211.988,2314.648,-7.07,0,,1/28/2024 5:24:59 PM,0
,Mixed / non conventional,-3.00,-9.00,-4.50,-10.50,0.66,0.00,236.086,2314.648,6.43,0,,1/28/2024 5:24:59 PM,0
,Mixed / non conventional,-3.00,-9.00,-10.50,-1.50,0.76,0.00,-298.993,2314.648,-5.89,0,,1/28/2024 5:24:59 PM,0
,Mixed / non conventional,-3.00,-9.00,-1.50,-12.00,0.83,0.00,232.076,2314.648,8.32,0,,1/28/2024 5:24:59 PM,0
,Mixed / non conventional,-3.00,-9.00,-12.00,0.00,1.03,0.00,-169.240,2314.648,-14.14,0,,1/28/2024 5:24:59 PM,0
,Mixed / non conventional,-3.00,-9.00,0.00,-13.50,1.08,0.00,138.886,2314.648,17.99,0,,1/28/2024 5:24:59 PM,0
,Mixed / non conventional,-3.00,-9.00,-13.50,1.50,1.15,0.00,-107.494,2314.648,-24.74,0,,1/28/2024 5:24:59 PM,0
,Mixed / non conventional,-3.00,-9.00,1.50,-15.00,1.17,0.00,90.980,2314.648,29.87,0,,1/28/2024 5:24:59 PM,0
,Mixed / non conventional,-3.00,-9.00,-15.00,3.00,1.22,0.00,-75.032,2314.648,-37.70,0,,1/28/2024 5:24:59 PM,0
,Mixed / non conventional,-2.00,-8.00,-5.00,-6.50,0.78,0.00,131.564,2380.126,14.14,0,,1/28/2024 5:25:01 PM,0
,Mixed / non conventional,-2.00,-8.00,-6.50,-3.50,0.66,0.00,-222.959,2380.126,-7.07,0,,1/28/2024 5:25:01 PM,0
,Mixed / non conventional,-2.00,-8.00,-3.50,-9.50,0.67,0.00,249.967,2380.126,6.43,0,,1/28/2024 5:25:01 PM,0
,Mixed / non conventional,-2.00,-8.00,-9.50,-0.50,0.78,0.00,-314.801,2380.126,-5.89,0,,1/28/2024 5:25:01 PM,0
,Mixed / non conventional,-2.00,-8.00,-0.50,-11.00,0.86,0.00,244.935,2380.126,8.32,0,,1/28/2024 5:25:01 PM,0
,Mixed / non conventional,-2.00,-8.00,-11.00,1.00,1.07,0.00,-179.477,2380.126,-14.14,0,,1/28/2024 5:25:01 PM,0
,Mixed / non conventional,-2.00,-8.00,1.00,-12.50,1.11,0.00,146.942,2380.126,17.99,0,,1/28/2024 5:25:01 PM,0
,Mixed / non conventional,-2.00,-8.00,-12.50,2.50,1.19,0.00,-114.657,2380.126,-24.74,0,,1/28/2024 5:25:01 PM,0
,Mixed / non conventional,-2.00,-8.00,2.50,-14.00,1.21,0.00,96.473,2380.126,29.87,0,,1/28/2024 5:25:01 PM,0
,Mixed / non conventional,-2.00,-8.00,-14.00,4.00,1.27,0.00,-80.221,2380.126,-37.70,0,,1/28/2024 5:25:01 PM,0
,Mixed / non conventional,-1.00,-7.00,-4.00,-5.50,0.93,0.00,155.230,2358.125,14.14,0,,1/28/2024 5:25:03 PM,0
,Mixed / non conventional,-1.00,-7.00,-5.50,-2.50,0.76,0.00,-253.952,2358.125,-7.07,0,,1/28/2024 5:25:03 PM,0
,Mixed / non conventional,-1.00,-7.00,-2.50,-8.50,0.71,0.00,262.350,2358.125,6.43,0,,1/28/2024 5:25:03 PM,0
,Mixed / non conventional,-1.00,-7.00,-8.50,0.50,0.82,0.00,-327.742,2358.125,-5.89,0,,1/28/2024 5:25:03 PM,0
,Mixed / non conventional,-1.00,-7.00,0.50,-10.00,0.90,0.00,255.337,2358.125,8.32,0,,1/28/2024 5:25:03 PM,0
,Mixed / non conventional,-1.00,-7.00,-10.00,2.00,1.11,0.00,-185.339,2358.125,-14.14,0,,1/28/2024 5:25:03 PM,0
,Mixed / non conventional,-1.00,-7.00,2.00,-11.50,1.16,0.00,151.689,2358.125,17.99,0,,1/28/2024 5:25:03 PM,0
,Mixed / non conventional,-1.00,-7.00,-11.50,3.50,1.23,0.00,-116.994,2358.125,-24.74,0,,1/28/2024 5:25:03 PM,0
,Mixed / non conventional,-1.00,-7.00,3.50,-13.00,1.25,0.00,98.428,2358.125,29.87,0,,1/28/2024 5:25:03 PM,0
,Mixed / non conventional,-1.00,-7.00,-13.00,5.00,1.29,0.00,-80.793,2358.125,-37.70,0,,1/28/2024 5:25:03 PM,0
,Mixed / non conventional,0.00,-6.00,-3.00,-4.50,0.80,0.00,134.911,2383.032,14.14,0,,1/28/2024 5:25:06 PM,0
