x,y,z
478692.26069122186,3617285.578384598,0
478692.48448463826,3617284.095173046,0
478692.7082780547,3617282.6119614947,0
478692.9320714711,3617281.128749943,0
478693.1558648875,3617279.6455383915,0
478693.3796583039,3617278.1623268398,0
478693.6034517203,3617276.6791152884,0
478693.8272451367,3617275.1959037366,0
478694.0510385531,3617273.712692185,0
478694.2748319695,3617272.2294806335,0
478694.4986253859,3617270.7462690817,0
478694.7224188023,3617269.2630575304,0
478694.9462122187,3617267.7798459786,0
