Unnamed: 0,El-array,xA (m),xB (m),xM (m),xN (m),Rho (Ohm.m),Dev. Rho (%),VMN (mV),IAB (mA),Coef. k (m),Stack,Name,Date,Gapfiller,Time_fixed,x_mapped,y_mapped,Matched
,Mixed / non conventional,6.0,0.0,9.0,-4.5,1.06,0.0,140.546,2388.635,17.99,0,,1/28/2024 5:25:20 PM,0,1900-01-01 17:25:20,478699.5811,3617365.414,1
,Mixed / non conventional,6.0,0.0,-6.0,12.0,1.2,0.0,-75.962,2388.635,-37.7,0,,1/28/2024 5:25:20 PM,0,1900-01-01 17:25:20,,,0
,Mixed / non conventional,6.0,0.0,10.5,-6.0,1.15,0.0,92.163,2388.635,29.87,0,,1/28/2024 5:25:20 PM,0,1900-01-01 17:25:20,,,0
,Mixed / non conventional,6.0,0.0,-4.5,10.5,1.12,0.0,-108.386,2388.635,-24.74,0,,1/28/2024 5:25:20 PM,0,1900-01-01 17:25:20,,,0
,Mixed / non conventional,6.0,0.0,-3.0,9.0,1.0,0.0,-168.491,2388.635,-14.14,0,,1/28/2024 5:25:20 PM,0,1900-01-01 17:25:20,,,0
,Mixed / non conventional,6.0,0.0,4.5,-1.5,0.66,0.0,245.082,2388.635,6.43,0,,1/28/2024 5:25:20 PM,0,1900-01-01 17:25:20,,,0
,Mixed / non conventional,6.0,0.0,-1.5,7.5,0.73,0.0,-296.565,2388.635,-5.89,0,,1/28/2024 5:25:20 PM,0,1900-01-01 17:25:20,,,0
,Mixed / non conventional,6.0,0.0,3.0,1.5,0.8,0.0,135.622,2388.635,14.14,0,,1/28/2024 5:25:20 PM,0,1900-01-01 17:25:20,,,0
,Mixed / non conventional,6.0,0.0,7.5,-3.0,0.81,0.0,232.118,2388.635,8.32,0,,1/28/2024 5:25:20 PM,0,1900-01-01 17:25:20,,,0
,Mixed / non conventional,6.0,0.0,1.5,4.5,0.69,0.0,-232.552,2388.635,-7.07,0,,1/28/2024 5:25:20 PM,0,1900-01-01 17:25:20,,,0
